config,fold,epoch,train_loss,val_auc,val_mcc,val_score
ft_stable,4,1,0.9322103321552276,0.4331065759637189,0.0,0.4331065759637189
ft_stable,4,2,0.8398923337459564,0.4306122448979592,-0.10546786488216738,0.42006545840974246
ft_stable,4,3,0.7817934036254883,0.4312925170068027,0.0,0.4312925170068027
ft_stable,4,4,0.7640802502632141,0.43492063492063493,0.0,0.43492063492063493
ft_stable,4,5,0.7737184405326843,0.43582766439909304,0.0,0.43582766439909304
ft_stable,4,6,0.7975111186504364,0.43764172335600904,0.0,0.43764172335600904
ft_stable,4,7,0.7935396134853363,0.4437641723356009,0.1308559806475534,0.45684977040035624
ft_stable,4,8,0.7709761321544647,0.44625850340136053,0.055708601453115555,0.4518293635466721
ft_stable,4,9,0.7633107364177704,0.44897959183673464,0.015214515486254614,0.4505010433853601
ft_stable,4,10,0.7709645688533783,0.4528344671201814,0.015214515486254614,0.45435591866880687
ft_stable,4,11,0.7745459675788879,0.45736961451247166,0.015214515486254614,0.45889106606109714
ft_stable,4,12,0.7742904484272003,0.45827664399092977,-0.013222147133698627,0.4569544292775599
ft_stable,4,13,0.7619593441486359,0.4646258503401361,-0.0356034497458156,0.4610655053655545
ft_stable,4,14,0.783486831188202,0.4682539682539682,0.0,0.4682539682539682
ft_stable,4,15,0.738767009973526,0.46984126984126984,0.06834861261734088,0.47667613110300394
ft_stable,4,16,0.7539603412151337,0.47165532879818595,0.06834861261734088,0.47849019005992005
ft_stable,4,17,0.7670614778995514,0.4757369614512471,0.06834861261734088,0.4825718227129812
ft_stable,4,18,0.7547248125076294,0.4800453514739229,0.12122603684516312,0.4921679551584392
ft_stable,4,19,0.7647081434726715,0.48140589569161,0.12122603684516312,0.4935284993761263
ft_stable,4,20,0.7352524280548096,0.48480725623582765,0.13124987182635964,0.4979322434184636
ft_stable,4,21,0.7587425827980041,0.48866213151927435,0.12122603684516312,0.5007847352037906
ft_stable,4,22,0.7325372278690339,0.49274376417233556,0.13502712035855327,0.5062464762081909
ft_stable,4,23,0.7208446949720383,0.49999999999999994,0.11542256460957984,0.511542256460958
ft_stable,4,24,0.7657626152038575,0.5015873015873016,0.11542256460957984,0.5131295580482595
ft_stable,4,25,0.7302080392837524,0.5047619047619047,0.08888888888888889,0.5136507936507936
ft_stable,4,26,0.7425672352313996,0.5072562358276644,0.10148296466389782,0.5174045322940543
ft_stable,4,27,0.7602446377277374,0.5111111111111111,0.10148296466389782,0.5212594075775009
ft_stable,4,28,0.7314818322658538,0.517233560090703,0.09073928715621604,0.5263074888063246
