config,fold,epoch,train_loss,val_auc,val_mcc,val_score
ft_03,3,1,0.8008882999420166,0.5156462585034014,0.2282177322938192,0.5384680317327833
ft_03,3,2,0.7871700406074524,0.5226757369614512,0.25005909467048615,0.5476816464284998
ft_03,3,3,0.7622930645942688,0.5290249433106576,0.18017776993008439,0.5470427203036661
ft_03,3,4,0.767874252796173,0.5346938775510204,0.16351748504193214,0.5510456260552136
ft_03,3,5,0.7574104070663452,0.537641723356009,0.18017776993008439,0.5556595003490175
ft_03,3,6,0.7623238563537598,0.535827664399093,0.1525415389164802,0.551081818290741
ft_03,3,7,0.7489216208457947,0.5310657596371883,0.19641855032959651,0.550707614670148
ft_03,3,8,0.7505768179893494,0.5310657596371883,0.15389675281277312,0.5464554349184656
ft_03,3,9,0.7522702693939209,0.5360544217687075,0.18795868469768742,0.5548502902384763
ft_03,3,10,0.7477936506271362,0.5392290249433107,0.1414213562373095,0.5533711605670416
ft_03,3,11,0.7482636570930481,0.5410430839002268,0.13502712035855327,0.5545457959360821
ft_03,3,12,0.7436980128288269,0.5435374149659864,0.23215864790111868,0.5667532797560982
ft_03,3,13,0.744088065624237,0.5505668934240362,0.15389675281277312,0.5659565687053135
ft_03,3,14,0.7360898137092591,0.5564625850340136,0.16577368919866128,0.5730399539538797
ft_03,3,15,0.7393596529960632,0.5655328798185941,0.16577368919866128,0.5821102487384603
ft_03,3,16,0.7335974454879761,0.5750566893424036,0.22312478210481138,0.5973691675528847
ft_03,3,17,0.7329587936401367,0.5829931972789116,0.27608055426078976,0.6106012527049907
ft_03,3,18,0.727882719039917,0.5886621315192744,0.2412090756622109,0.6127830390854955
ft_03,3,19,0.7370835423469544,0.5972789115646258,0.2500822233207563,0.6222871338967014
ft_03,3,20,0.7180741548538208,0.6138321995464853,0.23476531706868597,0.6373087312533539
ft_03,3,21,0.7206048846244812,0.628344671201814,0.23215864790111868,0.6515605359919259
ft_03,3,22,0.7297387719154358,0.6428571428571429,0.27484720047065675,0.6703418629042086
ft_03,3,23,0.709459102153778,0.6609977324263039,0.3374971676229356,0.6947474491885974
ft_03,3,24,0.7008107900619507,0.6768707482993197,0.26247500789788036,0.7031182490891077
ft_03,3,25,0.7094207286834717,0.6832199546485261,0.35968736424845393,0.7191886910733716
ft_03,3,26,0.6913809537887573,0.70702947845805,0.3297538178131698,0.740004860239367
ft_03,3,27,0.6762272357940674,0.7299319727891156,0.3256322521439847,0.7624951980035141
ft_03,3,28,0.6813910603523254,0.7476190476190477,0.3832565231410663,0.7859446999331544
ft_03,3,29,0.6628434062004089,0.7537414965986394,0.34426518632954817,0.7881680152315942
ft_03,3,30,0.6590951919555664,0.7591836734693876,0.3423160489222918,0.7934152783616168
ft_03,3,31,0.6566541910171508,0.781859410430839,0.25649458802128855,0.8075088692329678
ft_03,3,32,0.6623951077461243,0.7922902494331066,0.39268500524122163,0.8315587499572287
ft_03,3,33,0.6569068551063537,0.7997732426303855,0.3256322521439847,0.832336467844784
ft_03,3,34,0.6340264201164245,0.8029478458049887,0.4054350219014383,0.8434913479951325
ft_03,3,35,0.6065035462379456,0.8108843537414966,0.5152576932860784,0.8624101230701045
ft_03,3,36,0.5912140965461731,0.8238095238095238,0.38348249442368526,0.8621577732518924
ft_03,3,37,0.5916970133781433,0.834013605442177,0.5353361248643385,0.8875472179286108
ft_03,3,38,0.5525766491889954,0.8492063492063492,0.4897948447043822,0.8981858336767874
ft_03,3,39,0.5601064383983612,0.8523809523809524,0.49303560941328844,0.9016845133222812
ft_03,3,40,0.5480445325374603,0.85578231292517,0.5056474540884063,0.9063470583340106
ft_03,3,41,0.5430089116096497,0.8582766439909296,0.47446509512989077,0.9057231535039187
ft_03,3,42,0.5280898571014404,0.8609977324263038,0.5056474540884063,0.9115624778351444
ft_03,3,43,0.5149994611740112,0.864172335600907,0.4591998322966902,0.9100923188305761
ft_03,3,44,0.5227828979492187,0.8714285714285714,0.5056474540884063,0.921993316837412
ft_03,3,45,0.5039667248725891,0.8739229024943311,0.4726368215154546,0.9211865846458765
ft_03,3,46,0.49022733569145205,0.8752834467120181,0.5017348819226063,0.9254569349042787
ft_03,3,47,0.49958053827285764,0.8732426303854874,0.48706433218328776,0.9219490636038162
ft_03,3,48,0.49906074404716494,0.872562358276644,0.4897948447043822,0.9215418427470822
ft_03,3,49,0.49477170705795287,0.8709750566893424,0.48515217845796993,0.9194902745351394
ft_03,3,50,0.4884128749370575,0.873469387755102,0.4791574237499549,0.9213851301300975
ft_03,3,51,0.4756921589374542,0.8716553287981859,0.5017348819226063,0.9218288169904465
ft_03,3,52,0.4708542346954346,0.8714285714285714,0.4676989074620948,0.918198462174781
ft_03,3,53,0.4757832884788513,0.8668934240362811,0.4691574316284182,0.913809167199123
ft_03,3,54,0.48012778759002683,0.8671201814058958,0.45370469825248033,0.9124906512311438
ft_03,3,55,0.4809444427490234,0.8680272108843538,0.4744346754330988,0.9154706784276636
ft_03,3,56,0.4822762250900269,0.8673469387755102,0.48515217845796993,0.9158621566213072
ft_03,3,57,0.4728638768196106,0.8682539682539683,0.5,0.9182539682539683
ft_03,3,58,0.48083778023719786,0.8687074829931973,0.4726368215154546,0.9159711651447427
