config,fold,epoch,train_loss,val_auc,val_mcc,val_score
ft_05,3,1,0.7896968603134156,0.6664399092970521,0.18569533817705186,0.6850094431147573
ft_05,3,2,0.7896159529685974,0.6208616780045352,0.1308559806475534,0.6339472760692905
ft_05,3,3,0.7795407176017761,0.5909297052154195,0.21362069847489362,0.6122917750629089
ft_05,3,4,0.7687014698982239,0.5789115646258504,0.25005909467048615,0.603917474092899
ft_05,3,5,0.7655962467193603,0.5702947845804988,0.25005909467048615,0.5953006940475474
ft_05,3,6,0.7639941573143005,0.564625850340136,0.18017776993008439,0.5826436273331445
ft_05,3,7,0.7537329912185669,0.5709750566893423,0.22074860480660838,0.5930499171700032
ft_05,3,8,0.7540736794471741,0.5707482993197278,0.22074860480660838,0.5928231598003887
ft_05,3,9,0.7470018982887268,0.5773242630385488,0.22074860480660838,0.5993991235192097
ft_05,3,10,0.7419244289398194,0.5852607709750567,0.17426242796492197,0.6026870137715489
ft_05,3,11,0.7429949045181274,0.5909297052154195,0.19507511025893062,0.6104372162413126
ft_05,3,12,0.7337357521057128,0.5968253968253968,0.17426242796492197,0.614251639621889
ft_05,3,13,0.7340988516807556,0.6054421768707483,0.19507511025893062,0.6249496878966414
