fold,auc,fixed_threshold,best_threshold,accuracy_fixed,precision_fixed,recall_fixed,f1_fixed,mcc_fixed,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,dynamic_train_coverage,dynamic_val_coverage,dynamic_scale_sigmoid
1,0.8837345860246624,0.5,0.060000000000000005,0.7814207650273224,0.5833333333333334,0.8076923076923077,0.6774193548387096,0.5342586503468834,0.6885245901639344,0.4766355140186916,0.9807692307692307,0.6415094339622641,0.5063958440701875,75,56,1,51,0.3715847134590149,0.3224043846130371,0.01810828223824501
2,0.925689404934688,0.5,0.14,0.8415300546448088,0.6875,0.8301886792452831,0.7521367521367521,0.6432989433455073,0.6721311475409836,0.46846846846846846,0.9811320754716981,0.6341463414634146,0.4895849390767358,71,59,1,52,0.36612021923065186,0.3442623019218445,0.018663723021745682
3,0.9039187227866473,0.5,0.15000000000000002,0.8306010928961749,0.6833333333333333,0.7735849056603774,0.7256637168141593,0.6062439863917356,0.8306010928961749,0.6527777777777778,0.8867924528301887,0.752,0.6448290485775339,105,25,6,47,0.3579235076904297,0.37704917788505554,0.017996665090322495
4,0.8820029027576197,0.5,0.09000000000000001,0.7978142076502732,0.625,0.7547169811320755,0.6837606837606838,0.5422485513865134,0.7213114754098361,0.5108695652173914,0.8867924528301887,0.6482758620689655,0.4904582636610172,85,45,6,47,0.35928961634635925,0.3715847134590149,0.01806294173002243
5,0.8833091436865022,0.5,0.05,0.7759562841530054,0.59375,0.7169811320754716,0.6495726495726496,0.4917233554070165,0.6721311475409836,0.46846846846846846,0.9811320754716981,0.6341463414634146,0.4895849390767358,71,59,1,52,0.3538251221179962,0.39344263076782227,0.01799393817782402
