exp_name,top_k,pos_weight_scale,embed_dim,auc_mean,auc_std,f1_mean,recall_mean,precision_mean,accuracy_mean,threshold_mean,f1_fixed_mean,recall_fixed_mean,precision_fixed_mean,accuracy_fixed_mean
exp_05_topk_None_pw_1.1_emb_64,,1.1,64,0.897205929602588,0.030521739994661193,0.6245945356534663,0.9580551523947751,0.472195533151909,0.6491803278688525,0.10000000000000002,0.7098232829772654,0.7612481857764876,0.6676958331041816,0.8207650273224043
exp_16_topk_8_pw_1.0_emb_96,8.0,1.0,96,0.896940028141238,0.02153345315943593,0.6711359824946891,0.9206821480406386,0.5320138339920948,0.7366120218579235,0.098,0.706441617248921,0.7725689404934688,0.6520788517172317,0.8142076502732241
exp_23_topk_12_pw_1.1_emb_64,12.0,1.1,64,0.8961239322394443,0.01985803507426253,0.6151133904692129,0.9621915820029028,0.4549166329427825,0.6480874316939891,0.084,0.7089402710839596,0.8108127721335269,0.63614132445431,0.8065573770491804
exp_04_topk_None_pw_1.0_emb_96,,1.0,96,0.8956631471653796,0.024913178625367183,0.664334434331604,0.9432510885341074,0.5151652361276136,0.7213114754098361,0.08800000000000001,0.699474722950218,0.731277213352685,0.6757469654528477,0.8196721311475411
exp_19_topk_12_pw_0.9_emb_64,12.0,0.9,64,0.8951203758073987,0.02891880823724028,0.6326840807926887,0.9468795355587808,0.47568184871758523,0.6808743169398908,0.11200000000000002,0.7257364942996573,0.7991291727140784,0.6701828227013771,0.8240437158469944
exp_06_topk_None_pw_1.1_emb_96,,1.1,96,0.8943695365559112,0.020503442457744252,0.6187084594549856,0.9620464441219159,0.45982056253870107,0.6491803278688526,0.10600000000000002,0.7141084110506121,0.776487663280116,0.6637747897405492,0.8196721311475411
exp_03_topk_None_pw_1.0_emb_64,,1.0,64,0.8934106294109174,0.020102617260827814,0.6367600961434039,0.9392597968069667,0.4859302536885316,0.6830601092896175,0.17000000000000007,0.6945022841207054,0.7804063860667634,0.6297394873991575,0.8010928961748632
exp_02_topk_None_pw_0.9_emb_96,,0.9,96,0.8929860734109619,0.026333883169768844,0.6602116990096933,0.9087808417997097,0.5224967332616333,0.7256830601092895,0.078,0.6948119276949466,0.7156023222060958,0.6818045097303058,0.8174863387978142
exp_22_topk_12_pw_1.0_emb_96,12.0,1.0,96,0.8925098882105941,0.02726206724128516,0.6223779908667707,0.9696661828737302,0.4591773482073818,0.6568306010928963,0.09,0.7017667323233552,0.8217706821480407,0.6141831771618187,0.7967213114754099
exp_18_topk_8_pw_1.1_emb_96,8.0,1.1,96,0.8924420833379496,0.03183417561746991,0.6046529669522429,0.9695936139332366,0.44418256356126956,0.6185792349726775,0.09600000000000002,0.69913827892173,0.7992743105950654,0.6260778388125868,0.8
