exp_name,top_k,pos_weight_scale,embed_dim,auc_mean,auc_std,f1_mean,recall_mean,precision_mean,mcc_mean
exp_06_topk_8_pw_1.1_emb_96,8,1.1,96,0.7800754495396581,0.030422737614884954,0.5347576961899654,0.5452830188679245,0.5570502884151145,0.3689673439747446
exp_01_topk_8_pw_0.9_emb_64,8,0.9,64,0.7503010226127035,0.07485483600304806,0.25718011508500366,0.22445573294629897,0.562860310421286,0.22319762761702147
exp_05_topk_8_pw_1.1_emb_64,8,1.1,64,0.7489418229761021,0.05163458242798173,0.38054594954554344,0.32583454281567487,0.4634469251860557,0.2572789576122535
exp_04_topk_8_pw_1.0_emb_96,8,1.0,96,0.7366238269867825,0.030279141755236126,0.24476714736691058,0.18918722786647316,0.44117259552042165,0.1603690553610327
exp_03_topk_8_pw_1.0_emb_64,8,1.0,64,0.7345422617135132,0.07802273116215976,0.35259653743243013,0.29869375907111756,0.6236814454205759,0.2586770847074046
exp_02_topk_8_pw_0.9_emb_96,8,0.9,96,0.7199015610631627,0.07776875191689113,0.2469561157796452,0.20413642960812775,0.3831072874493927,0.15245344474264985
