model,fold,accuracy,precision,recall,f1,auc,mcc
xgboost,1,0.8306010928961749,0.7058823529411765,0.6923076923076923,0.6990291262135923,0.8885789782736349,0.5812269142001247
xgboost,2,0.8469945355191257,0.7450980392156863,0.7169811320754716,0.7307692307692307,0.8806966618287374,0.6241794128783844
xgboost,3,0.8469945355191257,0.7777777777777778,0.660377358490566,0.7142857142857143,0.8825834542815675,0.614568988946012
xgboost,4,0.819672131147541,0.7083333333333334,0.6415094339622641,0.6732673267326733,0.8545718432510886,0.5504458617065733
xgboost,5,0.819672131147541,0.7,0.660377358490566,0.6796116504854369,0.8486211901306241,0.5547400326404808
