,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,mcc_mean,mcc_std
logistic,0.8032786885245902,0.018287650853203857,0.6278372757838879,0.028006374923439242,0.7841799709724239,0.053825611548327504,0.6964802768971335,0.031844695114068865,0.872133305265957,0.026069611547894084,0.5621548214343204,0.04509059424254148
decision_tree,0.7497267759562842,0.05234504924514995,0.5596841781109907,0.07404989079006237,0.7272133526850509,0.059434095174149784,0.6291090355983736,0.054386557084883505,0.8127760112564951,0.04645278778817595,0.45818946850274783,0.08739502004356788
random_forest,0.839344262295082,0.01782459719158477,0.7997484498192602,0.016385520168841806,0.5910740203193032,0.07029754426765203,0.6775059023768557,0.05050269193904155,0.8800633731816218,0.01034713896255602,0.5871995883407637,0.04996836386113755
xgboost,0.8327868852459016,0.012267729136963756,0.7274183006535948,0.029760531998146118,0.6743105950653121,0.026865801944073352,0.6993926096973295,0.021355307498320444,0.8710104255531304,0.016173540507474996,0.585032242074315,0.030110584774398385
gbdt,0.8437158469945356,0.014498906187345988,0.8007552993327304,0.02947822216681733,0.613788098693759,0.07434743734743045,0.6913163569251003,0.04508416098128593,0.8808047950896863,0.014316459915065291,0.6013384905439327,0.04129174614315567
