fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.8142076502732241,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.8694950088079859,0.6,114,17,17,35
2,0.9016393442622951,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.923512336719884,0.6,123,7,11,42
3,0.825136612021858,0.6909090909090909,0.7169811320754716,0.7037037037037037,0.8631349782293178,0.6,113,17,15,38
4,0.7978142076502732,0.6481481481481481,0.660377358490566,0.6542056074766355,0.8436865021770683,0.6,111,19,18,35
5,0.825136612021858,0.7142857142857143,0.660377358490566,0.6862745098039216,0.8766328011611031,0.6,116,14,18,35
