fold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_auc,fixed_mcc,best_accuracy,best_precision,best_recall,best_f1,best_auc,best_mcc,best_threshold,lambda,rho,tn,fp,fn,tp
1,0.7814207650273224,0.59375,0.7307692307692307,0.6551724137931034,0.8879917792131533,0.5034159975353952,0.6939890710382514,0.4807692307692308,0.9615384615384616,0.6410256410256411,0.8879917792131533,0.5001914319861012,0.14,0.734186589717865,0.4958677738904953,105,26,14,38
2,0.8797814207650273,0.7719298245614035,0.8301886792452831,0.8,0.9052249637155297,0.7151909429199509,0.6010928961748634,0.4180327868852459,0.9622641509433962,0.5828571428571429,0.9052249637155297,0.4003808056713915,0.08,0.7457454800605774,0.49462220072746277,117,13,9,44
3,0.8633879781420765,0.78,0.7358490566037735,0.7572815533980582,0.9201741654571843,0.6628810989235252,0.7814207650273224,0.5747126436781609,0.9433962264150944,0.7142857142857143,0.9201741654571843,0.5983500462847768,0.02,0.708668440580368,0.4988377243280411,119,11,14,39
4,0.7540983606557377,0.5526315789473685,0.7924528301886793,0.6511627906976745,0.860522496371553,0.4886921976143684,0.5956284153005464,0.4117647058823529,0.9245283018867925,0.5697674418604651,0.860522496371553,0.3672049762444312,0.02,0.7044055461883545,0.5036932975053787,96,34,11,42
5,0.825136612021858,0.6779661016949152,0.7547169811320755,0.7142857142857143,0.8782293178519593,0.5905795479256489,0.5573770491803278,0.3939393939393939,0.9811320754716981,0.5621621621621622,0.8782293178519593,0.37001461313891526,0.08,0.730161190032959,0.4939497858285904,111,19,13,40
