epoch,train_loss,val_loss,val_auc
0,0.8307824277359507,0.6483495036760966,0.8684674104521433
1,0.6809882508671802,0.6554272646705309,0.8830005871990605
2,0.618558292803557,0.6614117783804735,0.8677334116265414
3,0.5912587059580762,0.6403331185380617,0.8727246036406342
4,0.6069067975749141,0.6764080834885439,0.8810921902524956
5,0.5778500794068627,0.7130779524644216,0.8832941867293013
6,0.5848100314969602,0.6640825892488161,0.8834409864944216
7,0.5484334256338037,0.6575076542794704,0.873458602466236
8,0.5272492779337842,0.6530690540870031,0.8879917792131533
9,0.541101951961932,0.6485142447054386,0.8838813857897828
10,0.5049671945364579,0.7256853431463242,0.8775689958896066
11,0.4676715647396834,0.819156696399053,0.8859365825014679
12,0.4827673649010451,0.7109474341074625,0.8778625954198473
13,0.48554300808388257,0.7416117439667383,0.8650910158543746
14,0.4687035077291986,0.7544328967730204,0.875807398708162
15,0.4414582343205162,0.7639500461518764,0.8783029947152086
16,0.3968911161241324,0.7923454865813255,0.8753669994128009
17,0.35856932466444763,0.84780611221989,0.8647974163241339
18,0.38363696764344757,0.8981732825438181,0.8708162066940692
19,0.35797341491865076,0.8839169380565485,0.8647974163241339
20,0.3383196708948716,0.9882736330231031,0.8738990017615972
21,0.34252186313919397,0.8958570783336958,0.8615678214914857
22,0.3326526491538338,0.9449319690465927,0.8639166177334117
23,0.33020947938380035,0.9648135354121526,0.8603934233705226
24,0.28843734769717505,1.001579360415538,0.8568702290076337
25,0.28213034861761593,1.0872667282819748,0.8574574280681151
26,0.28466391628203186,1.122373988231023,0.8537874339401057
27,0.25359288927005685,1.112395881364743,0.8573106283029948
28,0.2721391145301902,1.1007609491546948,0.858191426893717
29,0.26830539301685663,1.1509253556529682,0.8571638285378743
30,0.24532320803922156,1.1087875415881474,0.8600998238402818
31,0.23021080409703049,1.181161593645811,0.8583382266588373
32,0.22806704157720442,1.1983744353055954,0.8600998238402819
33,0.24616630197219228,1.2179988287389278,0.8568702290076337
