Model,Description,Accuracy,Precision,Recall,F1,AUC,AP,MCC,Threshold
Base AMFormer,Without prior-guided arithmetic interaction,0.6655737704918033,0.46167883211678834,0.9583333333333334,0.6231527093596059,0.8824070195037936,0.7744273962495906,0.46700229934613696,0.42000000000000004
+ Feature Embedding,Add unified feature embedding,0.614207650273224,0.42521008403361343,0.9583333333333334,0.5890570430733411,0.8937182888795792,0.797421892969097,0.411371837268495,0.398
+ Local Branch,Add local convolutional feature interaction,0.6666666666666666,0.4625228519195612,0.9583333333333334,0.623921085080148,0.9051051994600381,0.8083434353026013,0.46821281898687334,0.432
+ Prior Gate,Add prior-guided gated interaction,0.6557377049180327,0.4543828264758497,0.9621212121212122,0.6172539489671932,0.9089338081273565,0.8210870848477831,0.45871884723165046,0.428
Full PGFormer,Full proposed model,0.7005464480874317,0.4903100775193798,0.9583333333333334,0.6487179487179487,0.9132919052273891,0.8257502675785444,0.5064737804701319,0.458
