epoch,train_loss,val_loss,val_auc
0,0.22616622985705084,0.15594452122847238,0.6354136429608128
1,0.19731080726436948,0.10478951533635457,0.7451378809869376
2,0.13273490187914475,0.09336483168105285,0.7886792452830188
3,0.11450963208208913,0.0884593812127908,0.8007256894049346
4,0.10281661622550177,0.09080972025791804,0.8084179970972425
5,0.08254849991720656,0.08829483327766259,0.8130624092888243
6,0.08222422424865805,0.102273840457201,0.8294629898403483
7,0.07545277249553929,0.08107649783293407,0.8403483309143687
8,0.07063176207568335,0.08545348048210144,0.8291727140783746
9,0.07185141272518945,0.08294935524463654,0.8317851959361393
10,0.06362701790488284,0.10162641542653243,0.8507982583454282
11,0.06571225708593494,0.08350428193807602,0.8538461538461538
12,0.0634427951729816,0.08205255679786205,0.8505079825834543
13,0.059432863460286804,0.07189630096157391,0.8625544267053701
14,0.0561082291862239,0.08069969341158867,0.8551523947750362
15,0.05305466509383658,0.08088178001344204,0.8494920174165458
16,0.054013880212669785,0.09025427264471848,0.8449927431059506
17,0.052026040042224136,0.08567794660727183,0.8471698113207548
18,0.05007421379180058,0.09596775720516841,0.846589259796807
19,0.05150730940310851,0.08435406597952048,0.8622641509433963
20,0.05039532466427139,0.08032242208719254,0.8635703918722787
21,0.04633689801330152,0.0878294762223959,0.8547169811320755
22,0.04879393703911616,0.09335079851249854,0.8422351233671987
23,0.04750866580592549,0.11328069120645523,0.8490566037735849
24,0.04903018004868342,0.09837757361431916,0.8497822931785196
25,0.040693067986032234,0.10627938496569793,0.8590711175616836
26,0.04611402134532514,0.10033288039267063,0.858055152394775
27,0.041305918651430504,0.09838117038210233,0.8464441219158201
28,0.041943777271586914,0.099541865910093,0.856168359941945
29,0.038553113765690636,0.11319226709504922,0.8502177068214803
30,0.03839808346136757,0.1288248182584842,0.8477503628447025
31,0.03812414998917476,0.11142006454368432,0.842235123367199
32,0.03783231009931668,0.11896612184743087,0.8451378809869377
33,0.034103433520573635,0.131628580391407,0.848621190130624
34,0.03125311883733324,0.13319460799296698,0.8470246734397677
35,0.03196173716012551,0.13571135451396307,0.8503628447024674
36,0.031709902960321175,0.13352835861345133,0.8483309143686503
37,0.03331449627876282,0.14857181906700134,0.8497822931785195
38,0.026751257924605972,0.1524080994228522,0.8507982583454282
39,0.025408783198698708,0.17599420125285783,0.8555878084179971
40,0.031107687350848446,0.16501278430223465,0.8593613933236576
41,0.03035290081701849,0.13859868173797926,0.8555878084179971
42,0.027082023615746395,0.16757366930445036,0.8551523947750364
43,0.024752015288433304,0.17101254438360533,0.8525399129172715
44,0.021411752146061346,0.18815736348430315,0.8552975326560233
45,0.02633537957444787,0.1698728303114573,0.8555878084179971
