,age,C_G,C_WBC,C_RBC,C_P,C_N,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,ratio_C_G_B_G,diff_C_N_B_N,corrected_WBC,ratio_WBC_RBC_diff,sex,tube,site,other_inf,transparency
age,0.038982634,0.061705507,0.012211889,0.014755905,0.048852187,0.03959938,0.024030037,0.02552592,0.08410515,0.035437986,0.0107549615,0.023714477,0.037757993,0.039797876,0.038032014,0.030254968,0.03343102,0.05295408,0.011083907,0.06962844,0.035786632,0.068546705,0.05772432,0.052051634,0.05327435
C_G,0.042937987,0.18859847,0.029521428,0.012495721,0.047809936,0.026856316,0.024689335,0.04124272,0.02948646,0.018725615,0.026800878,0.048420895,0.014555328,0.1125526,0.003239558,0.069622405,0.0139304735,0.029680278,0.036942065,0.032925144,0.05375901,0.0048667253,0.0030872435,0.020205375,0.067048095
C_WBC,0.06221603,0.046105288,0.01680699,0.014028176,0.057477497,0.03442077,0.11339002,0.037292793,0.017317992,0.034987614,0.036206804,0.025339287,0.031501487,0.07895428,0.043466795,0.04768652,0.046414673,0.06913786,0.035112806,0.028446702,0.018116975,0.027404694,0.024583954,0.028712828,0.024871187
C_RBC,0.029148264,0.17525356,0.02704359,0.034248423,0.03384827,0.03066303,0.048340965,0.06535384,0.063636474,0.03730757,0.008289883,0.02094845,0.010231537,0.0,0.029348437,0.06216826,0.019655513,0.01614363,0.019448055,0.030171491,0.010861715,0.12051804,0.031184945,0.040095698,0.03609034
C_P,0.036356766,0.14986145,0.07155925,0.08221137,0.047953364,0.020451542,0.020918515,0.032160573,0.062178653,0.039114576,0.058338568,0.02574616,0.024992947,0.0076064668,0.020680435,0.047681034,0.022242742,0.019885946,0.008812166,0.008328902,0.0069137467,0.11284228,0.016445454,0.0152916415,0.041425407
C_N,0.018318672,0.105020285,0.057575863,0.027342563,0.0,0.013562536,0.10108678,0.07159417,0.0065024304,0.035118897,0.015873406,0.018791713,0.030780325,0.01366551,0.0,0.12174465,0.024453504,0.044561148,0.038656473,0.013738479,0.02320471,0.13387495,0.029084321,0.036165148,0.019283444
GCS,0.037246615,0.08189025,0.022369772,0.0374253,0.018178836,0.039346207,0.03269963,0.044572633,0.015775345,0.0242753,0.005475139,0.055914864,0.059187762,0.017685398,0.01330587,0.09790221,0.03306201,0.012678676,0.015678287,0.013834954,0.022999395,0.04179954,0.048501,0.14080487,0.067390144
tem,0.048395876,0.007734869,0.018058205,0.031203173,0.0645247,0.040060844,0.030180838,0.022785192,0.016466748,0.02776903,0.055669736,0.024373764,0.118068054,0.049514808,0.060468055,0.057320803,0.041690767,0.029732887,0.036330685,0.06708568,0.08227042,0.009469188,0.021185843,0.021662846,0.017976973
B_G,0.054056488,0.0,0.045557134,0.057646178,0.048324607,0.012922116,0.036138482,0.040691514,0.024270779,0.013738376,0.113265015,0.037752714,0.0440985,0.11218707,0.043425217,0.034230657,0.030232757,0.032286495,0.04981582,0.056648903,0.014208283,0.0048686625,0.027395569,0.0079981815,0.05824049
B_CRP,0.0355123,0.16379513,0.05587125,0.01635036,0.021013612,0.022370739,0.06591289,0.03472345,0.05030171,0.06947861,0.035116173,0.042344823,0.03716232,0.045670178,0.01658668,0.03218305,0.036296792,0.009667066,0.015455805,0.024171235,0.01540426,0.040346388,0.03301417,0.048606455,0.032644574
B_WBC,0.00565275,0.13835908,0.053638883,0.038114324,0.04523484,0.034294803,0.021770325,0.010867704,0.052462086,0.06520443,0.060848467,0.029432403,0.037019674,0.045066986,0.033674844,0.031664655,0.026774317,0.052423008,0.030522106,0.019311689,0.05654937,0.035473093,0.02678455,0.020272123,0.028583463
B_N,0.037560586,0.028959256,0.04779543,0.052930553,0.064828135,0.0,0.02770525,0.043851793,0.05817063,0.0,0.12523971,0.049825653,0.024090804,0.03462875,0.04220164,0.024133565,0.03225114,0.039623976,0.073008336,0.017058043,0.07030201,0.016633706,0.0,0.03660242,0.052598603
B_Lym,0.006748379,0.031358294,0.009535253,0.02333305,0.029076159,0.03522552,0.022517635,0.016765442,0.036518555,0.06875815,0.027422844,0.020564495,0.001632845,0.03100276,0.045616645,0.0071706767,0.041149683,0.11247231,0.017659666,0.08842588,0.038958058,0.051169157,0.1312567,0.04755701,0.058104828
B_PCT,0.024496738,0.045688897,0.021925777,0.07080972,0.035414226,0.046658944,0.005275329,0.031793248,0.046628013,0.020794349,0.016779678,0.019239284,0.047604583,0.010868922,0.05152542,0.033467542,0.0,0.023004713,0.027889714,0.048043557,0.055230513,0.0649021,0.015072323,0.11809438,0.118792005
B_AC,0.024139354,0.09114096,0.049015306,0.019830689,0.02070838,0.057957508,0.01284489,0.024954012,0.023113374,0.1526168,0.013684566,0.037953436,0.02728038,0.017643675,0.040549386,0.05598466,0.038543493,0.025212778,0.022426315,0.034248665,0.02390828,0.068664506,0.040769935,0.035909314,0.0408993
B_RBC,0.03229069,0.022296883,0.019692067,0.04438947,0.14562348,0.024256855,0.008204973,0.0069201714,0.030083107,0.011317717,0.055871338,0.04327443,0.040311195,0.063903145,0.05593353,0.029264791,0.016249549,0.07863379,0.02695027,0.06707412,0.03260518,0.022823095,0.010439185,0.044706736,0.066884235
ratio_C_G_B_G,0.051904686,0.10931655,0.07622714,0.0682893,0.012981017,0.04584234,0.016888969,0.035149686,0.0,0.06167888,0.03455782,0.06943633,0.12563303,0.022661172,0.024251482,0.054421168,0.009422132,0.012316356,0.013257759,0.0044354047,0.01882312,0.04558408,0.033474427,0.03066484,0.022782277
diff_C_N_B_N,0.020221043,0.050201908,0.03745531,0.06336473,0.0058185686,0.051681776,0.017928004,0.0635194,0.025391478,0.03810792,0.038044058,0.028554633,0.07797259,0.007083237,0.031729847,0.13431592,0.046239987,0.011080483,0.0,0.017959274,0.08876713,0.038241223,0.040906146,0.030328626,0.035086717
corrected_WBC,0.018210819,0.11816926,0.052320205,0.0,0.018774468,0.037366726,0.039794378,0.028856676,0.04897335,0.04929282,0.0053434162,0.031982277,0.011473361,0.021660533,0.026708677,0.117660105,0.039609306,0.020650968,0.017751973,0.03169608,0.055792127,0.12490091,0.027456928,0.04162415,0.0139304735
ratio_WBC_RBC_diff,0.033861034,0.1985927,0.08941487,0.043924734,0.0062178015,0.020091118,0.0245385,0.040465593,0.020520411,0.058695395,0.004863574,0.012251911,0.0087491935,0.0,0.016133364,0.09099009,0.019572373,0.04611966,0.027313791,0.0026643248,0.0073410394,0.12973486,0.02771134,0.04085215,0.029380146
sex,0.012823018,0.03540781,0.05983769,0.011815052,0.025549108,0.05313969,0.023862867,0.02694678,0.046541706,0.14596735,0.024464501,0.049839076,0.023690522,0.035300113,0.01651823,0.014928646,0.023728305,0.04340485,0.033542916,0.082986675,0.030643594,0.02043453,0.079998635,0.043067057,0.035561215
tube,0.0368603,0.039563216,0.043894257,0.04360108,0.025079027,0.057057537,0.0,0.08419356,0.035405487,0.018151606,0.057493847,0.04152774,0.07179206,0.040456925,0.031973924,0.037104674,0.01848454,0.033870216,0.021114804,0.024637986,0.0877086,0.007828635,0.028595306,0.07328579,0.04031893
site,0.031760648,0.02924035,0.062259752,0.061195593,0.041904192,0.014311107,0.0285071,0.027484844,0.029652016,0.020087074,0.043620113,0.046035733,0.03496188,0.013138896,0.02052002,0.08169901,0.030886661,0.0789587,0.045247205,0.028132446,0.05828695,0.010782411,0.01894649,0.08322902,0.059151776
