,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
logistic,0.789071038251366,0.03667314040560114,0.6067762028511359,0.059604312970062474,0.7917271407837446,0.04436568516584687,0.6854346036088854,0.0448725372539763,0.871736668919443,0.027081034647368735
random_forest,0.8185792349726777,0.01741789885301557,0.7154497866199995,0.049378799754706826,0.6252539912917272,0.04958875240420928,0.6650323304579564,0.030801922312155637,0.8719465094893584,0.016420502378122707
xgboost,0.8185792349726777,0.0126511878719019,0.6939643036701861,0.03343750041895034,0.6706821480406385,0.04730337237163465,0.680357285336069,0.023407829622088,0.8558336564774705,0.012527902999640907
gbdt,0.8098360655737704,0.019973406428958562,0.720387667887668,0.05996115311275245,0.568577648766328,0.07408787719259065,0.6311671769570353,0.04584216238955049,0.8637507616968945,0.012303509695233703
