epoch,train_loss,val_loss,val_auc
0,0.9092884918917781,0.8176251202821732,0.8309143686502177
1,0.8157128536182902,0.6692962497472763,0.8719883889695211
2,0.6915829881377842,0.596051129202048,0.8915820029027577
3,0.665598786395529,0.6058682054281235,0.8925979680696662
4,0.6009806666685187,0.577746452142795,0.900145137880987
5,0.5897816730582196,0.5916120608647665,0.89288824383164
6,0.56094421899837,0.6040691199402014,0.8817126269956459
7,0.5427571224129718,0.5653936564922333,0.8959361393323658
8,0.5402241997096849,0.5529393975933393,0.9053701015965167
9,0.5237409640913424,0.5730929200847944,0.8959361393323658
10,0.505864670743113,0.5778319947421551,0.9027576197387517
11,0.5232423187597938,0.6506287939846516,0.8847605224963715
12,0.4692119165607121,0.5842001723746458,0.902177068214804
13,0.45747687764789746,0.6049398990968863,0.9002902757619738
14,0.46112534274225647,0.6117848294476668,0.895355587808418
15,0.45846078188523004,0.6264091394841671,0.8921625544267053
16,0.4308993479479914,0.6283070531984171,0.8918722786647315
17,0.3951152634361516,0.6904413402080536,0.8921625544267053
18,0.4155194409515547,0.6917085119833549,0.8898403483309143
19,0.39803354766057886,0.6791039183735847,0.8911465892597968
20,0.4024253202521283,0.7384812372426192,0.8822931785195937
21,0.3681780857884366,0.7675211528937022,0.8756168359941946
22,0.4013031896041787,0.6940661122401556,0.886066763425254
23,0.33737958060658496,0.7286671822269758,0.8840348330914368
24,0.32611954600914667,0.7326760950187842,0.8873730043541365
25,0.32332802142785944,0.7592699627081553,0.888388969521045
26,0.31968448149121326,0.7944313908616701,0.8809869375907111
27,0.31667349487543106,0.7782068351904551,0.8785195936139333
28,0.3347100634937701,0.7496347030003866,0.8854862119013063
29,0.2894537934790487,0.7735175515214602,0.8873730043541365
30,0.31751778721809387,0.7928712765375773,0.8856313497822933
31,0.3318752529828445,0.7986742208401362,0.8840348330914369
32,0.29765757302875107,0.8063902879754702,0.8838896952104499
33,0.2996619246576143,0.8066764436662197,0.8833091436865022
