fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.7868852459016393,0.5866666666666667,0.8461538461538461,0.6929133858267716,0.9022313564298298,0.5,100,31,8,44
2,0.825136612021858,0.6521739130434783,0.8490566037735849,0.7377049180327869,0.9193033381712628,0.5,106,24,8,45
3,0.8688524590163934,0.7959183673469388,0.7358490566037735,0.7647058823529411,0.9158200290275762,0.5,120,10,14,39
4,0.7540983606557377,0.5526315789473685,0.7924528301886793,0.6511627906976745,0.8528301886792453,0.5,96,34,11,42
5,0.8032786885245902,0.6491228070175439,0.6981132075471698,0.6727272727272727,0.8759071117561683,0.5,110,20,16,37
