epoch,train_loss,val_loss,val_auc
0,1.1014406395995098,0.8054599761962891,0.858200290275762
1,0.8489530242007711,0.638774665693442,0.8879535558780841
2,0.7606322013813517,0.5814480806390444,0.9097242380261248
3,0.7365727424621582,0.5678150579333305,0.9140783744557329
4,0.6979361202405847,0.5394475211699804,0.9267053701015966
5,0.6877308384231899,0.549335744852821,0.9238026124818577
6,0.6526161386914875,0.5324376697341601,0.9272859216255442
7,0.6402611875015757,0.5018889730175337,0.9297532656023222
8,0.619557270537252,0.5019270995010933,0.9328011611030479
9,0.5820632123428843,0.5542941459765037,0.9204644412191583
10,0.5898706083712371,0.5093314498662949,0.9271407837445573
11,0.5546278169621592,0.5396465746064981,0.920899854862119
12,0.5375384584717129,0.5555472361544768,0.9200290275761974
13,0.5434842135595239,0.5693770994742712,0.9168359941944848
14,0.5208781089471735,0.5757129726310571,0.9124818577648766
15,0.5362138501975847,0.6714400965720415,0.8985486211901306
16,0.4811822648929513,0.6068117506802082,0.916255442670537
17,0.4802665580873904,0.5874983171621958,0.9171262699564586
18,0.44581952885441156,0.6268090717494488,0.9158200290275762
19,0.4146914559861888,0.6233708610137304,0.9188679245283019
20,0.44080532568952313,0.6449067903061708,0.9052249637155297
21,0.4633741080760956,0.6707671408851942,0.9120464441219158
22,0.4231899678707123,0.7445796343187491,0.9015965166908563
23,0.42244901410911395,0.671920645982027,0.9094339622641509
24,0.40386490588602814,0.7063847320775191,0.904644412191582
25,0.36425688020561053,0.7601238619536161,0.9010159651669085
26,0.38789675741092017,0.7003546978036562,0.9084179970972425
27,0.371339049352252,0.7373058758676052,0.9059506531204644
28,0.3805710433617882,0.737154612938563,0.9029027576197388
29,0.37501561900843744,0.7737884217252334,0.902177068214804
30,0.3633738004642984,0.7056242848436037,0.9084179970972424
31,0.3694077846796616,0.7460850750406584,0.9049346879535559
32,0.36438316042008606,0.7233922717471918,0.9056603773584906
33,0.341634262515151,0.7792828306555748,0.8991291727140784
