exp,pos_weight_scale,embed_dim,auc_mean,auc_std,f1_mean,mcc_mean,best_f1_mean,best_mcc_mean,lambda,rho
5,1.1,64,0.8973560531359753,0.024285340748350485,0.7140472970035693,0.5876353006362212,0.5959070235051843,0.40653557735342016,0.12026155665516854,0.12000613287091255
1,0.9,64,0.8966340198761342,0.02535269019636747,0.7228660013126033,0.6079366769320107,0.6322424929202851,0.46677073757905746,0.12080536559224128,0.1202269084751606
4,1.0,96,0.8962350568918336,0.021093474832517292,0.6990597550130302,0.5660293582840464,0.5845875154650828,0.3993783827832016,0.11995982155203819,0.11987549439072609
2,0.9,96,0.8933906868013161,0.023386448683410048,0.70851898601257,0.5831175037560467,0.6105755727818267,0.4477220570867879,0.12002615332603454,0.12014004737138748
6,1.1,96,0.8932731361969444,0.028224145007614748,0.6904076431729893,0.5533540329442379,0.6469110382402534,0.4983754730427745,0.1202443927526474,0.12030959948897361
3,1.0,64,0.8930486710466546,0.02534537797585522,0.6878180237106516,0.5574530891189516,0.5870282318412954,0.40713817601929936,0.12042746171355248,0.11956689208745956
