epoch,train_loss,val_loss,val_auc
0,1.0088908698247827,0.9620010952154795,0.4869375907111756
1,0.9845406542653623,0.9799588521321615,0.5136429608127722
2,1.0013411848441414,0.9572086532910665,0.6249637155297533
3,0.9569582187611124,0.970495879650116,0.5089985486211901
4,0.9597650118496107,0.9582042892773946,0.5728592162554428
5,0.932825884093409,0.9519567588965098,0.5040638606676342
6,0.9554429080175317,0.9464246034622192,0.5615384615384615
7,0.9578659197558528,0.9531012177467346,0.4862119013062409
8,0.9624216452888821,0.9480631947517395,0.5841799709724238
9,0.9482631346453791,0.9510820806026459,0.530478955007257
10,0.9388254595839459,0.9481181899706522,0.5473149492017417
11,0.9536291542260543,0.9503319164117178,0.5522496371552976
12,0.9465424366619276,0.9575966795285543,0.5081277213352684
13,0.9525122461111649,0.952125628789266,0.5523947750362845
14,0.945971289406652,0.958267350991567,0.49695210449927435
15,0.9483530599138011,0.9581857323646545,0.5107402031930334
16,0.9516219704047494,0.9511973857879639,0.5550072568940493
17,0.9316230494043102,0.9482569297154745,0.56966618287373
18,0.9353381654490596,0.9462055166562399,0.6153846153846154
19,0.9317336885825448,0.9508501390616099,0.5641509433962265
20,0.9310640744541002,0.9483466645081838,0.5917271407837446
21,0.9471485277880793,0.944317489862442,0.6182873730043541
22,0.9345151211904443,0.9451744655768076,0.5863570391872279
23,0.9427256791487985,0.945519208908081,0.590711175616836
24,0.9372980413229569,0.9518722196420034,0.546734397677794
25,0.936146730962007,0.9487625559171041,0.5597968069666183
26,0.9391441759855851,0.9544299940268198,0.48896952104499275
27,0.930064012175021,0.9495484431584676,0.5476052249637156
