fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.6885245901639344,0.2727272727272727,0.057692307692307696,0.09523809523809523,0.6344685848502643,0.5,123,8,49,3
2,0.7103825136612022,0.0,0.0,0.0,0.7161103047895501,0.5,130,0,53,0
3,0.7103825136612022,0.0,0.0,0.0,0.6179970972423803,0.5,130,0,53,0
4,0.29508196721311475,0.29120879120879123,1.0,0.451063829787234,0.6249637155297533,0.5,1,129,0,53
5,0.30601092896174864,0.29213483146067415,0.9811320754716981,0.45021645021645024,0.5911465892597968,0.5,4,126,1,52
