epoch,train_loss,val_loss,val_auc,val_mcc
0,1.2121314665545588,0.9324403802553812,0.7721667645331768,0.3606449184609479
1,1.045693197975988,0.8535235027472178,0.8470346447445685,0.46529480315310845
2,0.9677972974984542,0.8004876176516215,0.8571638285378743,0.4784695668267853
3,0.8661571792934252,0.7854104191064835,0.8558426306517909,0.453808100372211
4,0.8268593420153079,0.7900288303693136,0.8642102172636524,0.4578607064408191
5,0.7704350663268048,0.7803875207901001,0.8631826189078098,0.5511887147024472
6,0.7519512461579364,0.8066217253605524,0.8614210217263653,0.5442806023863997
7,0.743813245192818,0.8027421136697134,0.8603934233705226,0.49293740338399333
8,0.7267924987751505,0.8133483976125717,0.8589254257193188,0.5013283415978759
9,0.7043529308360555,0.784204512834549,0.8587786259541985,0.5407376483652632
10,0.7075946849325429,0.8050462603569031,0.8681738109219025,0.4937966841391536
11,0.6915072928304258,0.796487053235372,0.8642102172636523,0.5568792542524761
12,0.7077616971472035,0.7967222929000854,0.8649442160892542,0.570443814951861
13,0.6708864802899568,0.7929470340410868,0.8737522019964767,0.5647603084318945
14,0.6796214088149692,0.8012486596902212,0.8587786259541985,0.5542034067563689
15,0.6921461004277935,0.7662081370751063,0.873018203170875,0.5450812211552967
16,0.6865297555923462,0.8040366868178049,0.8849089841456254,0.47995479661911666
17,0.6794918542322905,0.7628996769587199,0.8844685848502643,0.5178016660133403
18,0.6588813196057859,0.7806946734587351,0.8785965942454492,0.5311771348254387
19,0.6335349989973981,0.7891748994588852,0.8759541984732824,0.4933810048972702
20,0.6360615569612255,0.793943872054418,0.8733118027011157,0.5487351053997486
21,0.6350590327511663,0.7871626814206442,0.8749266001174397,0.5311771348254387
22,0.6278160162594008,0.7920844554901123,0.8719906048150322,0.5360731283530452
23,0.6307766593020895,0.7846985161304474,0.8731650029359954,0.5082824648216718
24,0.6263400212578152,0.8426150381565094,0.8609806224310042,0.5343226918828046
25,0.5899461611457493,0.8096967786550522,0.858191426893717,0.5473737902252873
26,0.5977833724540212,0.8260891735553741,0.8602466236054022,0.5217746582009511
27,0.5933801687282064,0.839647243420283,0.8631826189078098,0.5149277919096442
28,0.5915380418300629,0.7848786413669586,0.8719906048150323,0.5407376483652632
29,0.5755116732224174,0.9007666806379954,0.8620082207868467,0.538023919800031
30,0.5733193081358204,0.859636257092158,0.855108631826189,0.538023919800031
31,0.5591330618961997,0.9312183956305186,0.8352906635349383,0.48465472695090184
32,0.5676028689612513,0.8992666552464167,0.848062243100411,0.5184542411916886
33,0.5589114829250004,0.8628993233044943,0.8416030534351144,0.47554848249226483
34,0.5581952786963919,0.8913077811400095,0.8376394597768643,0.5054750153984013
35,0.5397312343120575,0.8906168888012568,0.8435114503816794,0.5119087940145911
36,0.55186342286027,0.8894402186075846,0.83587786259542,0.5326316049655839
37,0.5506235322226649,0.875129833817482,0.8399882560187903,0.5217746582009511
38,0.5509284086849379,0.8965996503829956,0.8565766294773929,0.5442806023863997
39,0.5280671806439109,0.9044708808263143,0.8518790369935408,0.49617552617661487
40,0.5240901695645374,0.8995550125837326,0.83984145625367,0.49195417725547713
41,0.5409630653650864,0.9361995309591293,0.8192894891368174,0.5221693582335702
