feature,pool_attention
age,0.013490846
C_G,0.032442722
C_WBC,0.012138535
C_RBC,0.09120999
C_P,0.010558415
C_N,0.016601698
GCS,0.015794525
tem,0.05751741
B_G,0.1655481
B_CRP,0.027923986
B_WBC,0.0075367508
B_N,0.008606232
B_Lym,0.0069409097
B_PCT,0.008501392
B_AC,0.045837414
B_RBC,0.015957922
ratio_C_G_B_G,0.03899478
diff_C_N_B_N,0.048118524
corrected_WBC,0.06367375
ratio_WBC_RBC_diff,0.09046014
sex,0.015407629
tube,0.078347206
site,0.008644094
other_inf,0.10124689
transparency,0.01850006
