experiment,description,auc_mean,auc_std,recall_mean,precision_mean,f1_mean,mcc_mean,threshold_mean,fixed_auc_mean,fixed_recall_mean,fixed_f1_mean,fixed_mcc_mean
exp3_light_dynamic_residual,LightAMFormer 锚点 + 动态残差；两阶段训练；动态只做小幅风险修正。,0.8957309520380239,0.01703656037518918,0.9433236574746008,0.5154439587901595,0.6620155957916117,0.524170606892442,0.098,0.8957309520380239,0.7766328011611031,0.6977106314245909,0.5635546973755312
exp1_light_static_best,LightAMFormer 原型；固定最佳参数；只用静态数据。,0.8905667024895024,0.02184990078203824,0.9280841799709725,0.4901758922192358,0.6377185188442904,0.4804669351217644,0.098,0.8905667024895024,0.7805515239477504,0.6978996776372858,0.5661691335534739
exp2_light_dae_static,LightAMFormer + DAE；只用静态数据；验证 DAE 是否提升静态 AUC。,0.8804508137692639,0.03451811017005924,0.9619013062409287,0.46465945078964976,0.6202249428367276,0.44996572959112796,0.1,0.8804508137692639,0.7765602322206095,0.6946073354045547,0.5580220345564408
