model,fold,accuracy,precision,recall,f1,auc
random_forest,1,0.8032786885245902,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.8661186142102173
random_forest,2,0.8469945355191257,0.7659574468085106,0.6792452830188679,0.72,0.8786647314949202
random_forest,3,0.8032786885245902,0.6888888888888889,0.5849056603773585,0.6326530612244898,0.8818577648766328
random_forest,4,0.8087431693989071,0.7045454545454546,0.5849056603773585,0.6391752577319587,0.8429608127721336
random_forest,5,0.8306010928961749,0.775,0.5849056603773585,0.6666666666666666,0.8901306240928882
