model,fold,accuracy,precision,recall,f1,auc
gbdt,1,0.8142076502732241,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.861714621256606
gbdt,2,0.8360655737704918,0.7555555555555555,0.6415094339622641,0.6938775510204082,0.881277213352685
gbdt,3,0.7759562841530054,0.6428571428571429,0.5094339622641509,0.5684210526315789,0.8645863570391872
gbdt,4,0.8032786885245902,0.717948717948718,0.5283018867924528,0.6086956521739131,0.8431059506531204
gbdt,5,0.819672131147541,0.8125,0.49056603773584906,0.611764705882353,0.8680696661828736
