name,d_token,n_heads,n_layers,dropout,lr,weight_decay,batch_size,max_epochs,patience,best_epoch,best_val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
ft_05,32,4,2,0.3,0.0005,0.001,128,50,8,50,0.864172335600907,0.7486338797814208,0.5421686746987951,0.8490566037735849,0.6617647058823529,0.8589259796806966
ft_03,32,4,1,0.2,0.001,0.0001,128,50,8,47,0.8979591836734694,0.825136612021858,0.7142857142857143,0.660377358490566,0.6862745098039216,0.8529753265602322
ft_04,32,4,2,0.2,0.0005,0.0001,128,50,8,50,0.8657596371882086,0.7704918032786885,0.5797101449275363,0.7547169811320755,0.6557377049180327,0.8518142235123367
ft_01,16,2,1,0.1,0.001,0.0001,128,50,8,43,0.8947845804988662,0.7868852459016393,0.6206896551724138,0.6792452830188679,0.6486486486486487,0.848766328011611
ft_06,64,4,2,0.3,0.0002,0.0001,64,50,8,50,0.8281179138321996,0.644808743169399,0.43023255813953487,0.6981132075471698,0.5323741007194245,0.741799709724238
ft_02,16,2,2,0.2,0.0005,0.0001,128,50,8,9,0.6943310657596372,0.3551912568306011,0.30538922155688625,0.9622641509433962,0.4636363636363636,0.6667634252539913
