epoch,train_loss,val_auc
1,1.094172966480255,0.5489795918367347
2,0.9921838879585266,0.6002267573696146
3,1.0087140917778015,0.6501133786848073
4,0.9865874886512757,0.6659863945578232
5,0.9738868951797486,0.6732426303854875
6,0.9699478030204773,0.6761904761904762
7,0.971514618396759,0.6789115646258503
8,0.9738759756088257,0.6802721088435373
9,0.9651072263717652,0.682312925170068
10,0.9660126566886902,0.6836734693877551
11,0.9564985990524292,0.6845804988662131
12,0.9479622125625611,0.6820861678004535
13,0.9511014819145203,0.6829931972789115
14,0.938510251045227,0.6836734693877551
15,0.9273719906806945,0.6827664399092971
16,0.9195952773094177,0.6863945578231292
17,0.913111662864685,0.6857142857142857
18,0.9248544931411743,0.6900226757369614
19,0.9232916712760926,0.6972789115646257
20,0.9070707798004151,0.7047619047619047
21,0.9179500579833985,0.7115646258503401
22,0.9051848769187927,0.7213151927437641
23,0.9038363099098206,0.7317460317460317
24,0.8811886548995972,0.7403628117913832
25,0.8912403345108032,0.7480725623582767
26,0.8649552583694458,0.7594104308390023
27,0.8659959673881531,0.7664399092970521
28,0.8687809944152832,0.7773242630385487
29,0.8597738981246948,0.7868480725623583
30,0.8238973379135132,0.7956916099773242
31,0.8279496550559997,0.8038548752834467
32,0.8097377896308899,0.8120181405895692
33,0.7800845742225647,0.8188208616780045
34,0.7568609118461609,0.8299319727891157
35,0.8108222484588623,0.8385487528344672
36,0.74653080701828,0.8396825396825397
37,0.7615104436874389,0.8439909297052155
38,0.7658437013626098,0.8487528344671202
39,0.7650085330009461,0.853968253968254
40,0.7229800820350647,0.8578231292517007
41,0.727216923236847,0.8582766439909297
42,0.6932160258293152,0.8594104308390021
43,0.7144516468048095,0.8623582766439909
44,0.6757221817970276,0.8632653061224489
45,0.6661053419113159,0.8634920634920635
46,0.6707690238952637,0.8605442176870749
47,0.6792867302894592,0.8598639455782313
48,0.6614435195922852,0.8609977324263038
49,0.6606688976287842,0.8639455782312925
50,0.6285016775131226,0.8657596371882086
