fold,accuracy,precision,recall,f1,auc,mcc,threshold,tn,fp,fn,tp
1,0.7377049180327869,0.524390243902439,0.8269230769230769,0.6417910447761194,0.8849089841456254,0.47995479661911666,0.5,92,39,9,43
2,0.8524590163934426,0.7407407407407407,0.7547169811320755,0.7476635514018691,0.9017416545718433,0.6434854303113927,0.5,116,14,13,40
3,0.8415300546448088,0.6764705882352942,0.8679245283018868,0.7603305785123967,0.9296081277213353,0.6558327476273231,0.5,108,22,7,46
4,0.6612021857923497,0.45544554455445546,0.8679245283018868,0.5974025974025974,0.8451378809869377,0.40574507296755224,0.5,75,55,7,46
5,0.8469945355191257,0.7192982456140351,0.7735849056603774,0.7454545454545455,0.8854862119013063,0.6371468507587398,0.5,114,16,12,41
