epoch,train_loss,val_loss,val_auc,val_mcc
0,1.0834383964538574,0.9701683223247528,0.7240928882438317,0.2632787657031187
1,0.9980540068253226,0.8754328489303589,0.8663280116110305,0.5610967497897453
2,0.8919318810753201,0.7560617874066035,0.8923076923076924,0.6319073334909
3,0.830036909683891,0.7716565529505411,0.8820029027576197,0.6434854303113927
4,0.811506986618042,0.731472929318746,0.8831640058055151,0.6023086932577639
5,0.8002619795177294,0.7391112645467123,0.8759071117561684,0.5707556165953879
6,0.7633851870246555,0.7446615447600683,0.872278664731495,0.5707556165953879
7,0.7430790248124496,0.7374036312103271,0.8841799709724238,0.5748680976216892
8,0.7492033605990203,0.7514926294485728,0.8801161103047895,0.5131401670412217
9,0.7195718858553015,0.7548239131768545,0.8917271407837446,0.639479052166134
10,0.7254164400308029,0.7082664022843043,0.8979680696661829,0.586550568632463
11,0.7367795394814532,0.7318678994973501,0.8936139332365748,0.48163024482524347
12,0.7135845293169436,0.7334591249624888,0.8833091436865022,0.5992475910887645
13,0.7221801514210908,0.7525428930918375,0.895645863570392,0.6779196305009412
14,0.7169834245806155,0.7236102173725764,0.8970972423802612,0.635845832352764
15,0.6823727358942446,0.7288835148016611,0.8966618287373005,0.6478460370202718
16,0.6894712435162585,0.7397786180178324,0.8851959361393323,0.5675111493762619
17,0.6662199212157208,0.7508865098158518,0.8947750362844702,0.6180363453557588
18,0.6608726097189862,0.7325925628344218,0.8886792452830189,0.5561091142116188
19,0.6663154234056887,0.7441908965508143,0.8917271407837446,0.6218680598725868
20,0.6364427027495011,0.8180082539717356,0.8912917271407838,0.614568988946012
21,0.6591607435889866,0.743306577205658,0.9017416545718433,0.6434854303113927
22,0.6405498152193816,0.7271856367588043,0.8998548621190131,0.5708455276435598
23,0.6380902191867,0.7359523226817449,0.9015965166908563,0.6085661965785832
24,0.6200728856998942,0.7883330881595612,0.8850507982583454,0.6324846242199518
25,0.6151823401451111,0.7621466815471649,0.8901306240928882,0.6120043874751808
26,0.6253146503282629,0.7709125876426697,0.8946298984034833,0.5377650924140147
27,0.6156823142715122,0.7710748116175333,0.8856313497822932,0.5547165820767594
28,0.5902117322320524,0.8084807594617208,0.8815674891146589,0.5927737473660104
29,0.6117024421691895,0.7779229531685511,0.8801161103047895,0.621703628029156
30,0.5874227194682412,0.7685799300670624,0.8902757619738751,0.6111321533716694
31,0.5841829737891322,0.763807475566864,0.8866473149492018,0.6266529176388043
32,0.5768479484578838,0.7981816232204437,0.8843251088534108,0.5927737473660104
33,0.5628277724203856,0.7945381204287211,0.8857764876632801,0.6062439863917356
34,0.564197195612866,0.7785568833351135,0.8856313497822932,0.5905795479256489
35,0.5651718429897142,0.824251393477122,0.8835994194484761,0.5661570107347494
36,0.564415296782618,0.7820891539255778,0.888388969521045,0.621703628029156
37,0.5712368928867838,0.8376161952813467,0.8741654571843251,0.5642405892972711
38,0.5453467563442562,0.8140536447366079,0.8847605224963716,0.5694188100469246
39,0.5382484845493151,0.8112195531527201,0.8780841799709724,0.6085661965785832
40,0.5405423550502114,0.8328373730182648,0.8820029027576198,0.6319073334909
41,0.5414015585961549,0.8241902192433676,0.876342525399129,0.6150819832518094
42,0.5370801143024279,0.8179463048775991,0.8840348330914369,0.6266529176388043
43,0.5196432860001273,0.831086148818334,0.8764876632801162,0.5851174559845991
44,0.5051017688668292,0.837852547566096,0.8840348330914369,0.6062439863917356
45,0.5065265440422556,0.8313135504722595,0.8740203193033381,0.5955612190380404
46,0.5145970492259316,0.8485931654771169,0.871988388969521,0.5610967497897453
