model,fold,accuracy,precision,recall,f1,auc,mcc
logistic,1,0.7923497267759563,0.6,0.8076923076923077,0.6885245901639344,0.8716970052847917,0.5511887147024472
logistic,2,0.825136612021858,0.6567164179104478,0.8301886792452831,0.7333333333333333,0.8943396226415095,0.6150819832518094
logistic,3,0.7923497267759563,0.6056338028169014,0.8113207547169812,0.6935483870967742,0.8941944847605225,0.5547165820767594
logistic,4,0.7814207650273224,0.6101694915254238,0.6792452830188679,0.6428571428571429,0.8232220609579101,0.48747813388282163
logistic,5,0.825136612021858,0.6666666666666666,0.7924528301886793,0.7241379310344828,0.8772133526850509,0.6023086932577639
