fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.8469945355191257,0.7727272727272727,0.6538461538461539,0.7083333333333334,0.8791837933059307,0.5,121,10,18,34
2,0.8907103825136612,0.8837209302325582,0.7169811320754716,0.7916666666666666,0.9214804063860667,0.5,125,5,15,38
3,0.8633879781420765,0.868421052631579,0.6226415094339622,0.7252747252747253,0.9089985486211901,0.5,125,5,20,33
4,0.8524590163934426,0.825,0.6226415094339622,0.7096774193548387,0.8716981132075472,0.5,123,7,20,33
5,0.819672131147541,0.8571428571428571,0.4528301886792453,0.5925925925925926,0.8737300435413643,0.5,126,4,29,24
