fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.7158469945355191,0.5,0.7692307692307693,0.6060606060606061,0.8132706987668821,0.5,91,40,12,40
2,0.7978142076502732,0.6333333333333333,0.7169811320754716,0.672566371681416,0.8891146589259797,0.5,108,22,15,38
3,0.7759562841530054,0.59375,0.7169811320754716,0.6495726495726496,0.8129172714078374,0.5,104,26,15,38
4,0.7486338797814208,0.5538461538461539,0.6792452830188679,0.6101694915254238,0.7888243831640058,0.5,101,29,17,36
5,0.7704918032786885,0.5964912280701754,0.6415094339622641,0.6181818181818182,0.8188679245283018,0.5,107,23,19,34
