model,best_epoch_mean,best_epoch_std,best_val_auc_mean,best_val_auc_std,best_val_score_mean,best_val_score_std,best_threshold_mean,best_threshold_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,test_mcc_mean,test_mcc_std,test_accuracy_opt_mean,test_accuracy_opt_std,test_precision_opt_mean,test_precision_opt_std,test_recall_opt_mean,test_recall_opt_std,test_f1_opt_mean,test_f1_opt_std,test_auc_opt_mean,test_auc_opt_std,test_mcc_opt_mean,test_mcc_opt_std
ft_06,74.8,3.4928498393145957,0.8744374672946101,0.012071004838848197,0.930550889061349,0.013492446082953772,0.5260000000000001,0.05412947441089749,0.8229508196721312,0.019164675318852634,0.7042228885557221,0.05802320088969201,0.6782293178519593,0.04664100143054685,0.6886698868142167,0.026368002884470883,0.8649391196445784,0.01817322787609382,0.5674032950533423,0.04060628022082076,0.825136612021858,0.022196826242174752,0.7263018573861628,0.0551277546004552,0.6402757619738753,0.043002531914504635,0.6789578315877943,0.03342646004429639,0.8649391196445784,0.01817322787609382,0.5629476663168358,0.04860213251849043
ft_03,46.6,4.929503017546495,0.8619802733257883,0.010980915777646124,0.917776785033466,0.010438214335790064,0.4960000000000001,0.048270073544588725,0.8131147540983606,0.03734284057545329,0.6912725174480473,0.09938537142476754,0.6632075471698113,0.06429644985429715,0.6729385542433352,0.05469294222351536,0.8599334138423869,0.022878807586908367,0.5461357936479443,0.0848106098105412,0.8087431693989071,0.031152334019102116,0.6790079365079366,0.06991766204515436,0.655732946298984,0.07663087696049284,0.663908862822005,0.050600980555906436,0.8599334138423869,0.022878807586908367,0.5336283067199652,0.07188328250766467
ft_01,67.2,10.084641788382967,0.8538825607762485,0.015733146490293882,0.9078297812359469,0.02142479667014984,0.4840000000000001,0.05594640292279751,0.8120218579234972,0.01955032111475228,0.6974017714489584,0.05925128206690498,0.6370101596516691,0.12490335326075504,0.6574568288854004,0.05673446124105994,0.8460361847571987,0.01753682690585502,0.5370375042654473,0.06022322400434745,0.8043715846994536,0.024559786944529243,0.6863299412209845,0.06456989134170998,0.6256168359941945,0.13964581714001933,0.6429954590842272,0.06655350892372242,0.8460361847571987,0.01753682690585502,0.519974270303399,0.06419149467908955
ft_05,60.0,33.19638534539566,0.8179168745613928,0.0848193209742831,0.863677115197962,0.10024382098393508,0.5020000000000001,0.07628892449104267,0.7879781420765027,0.0439542678736398,0.6758372774397114,0.08033122134313499,0.54644412191582,0.29902014098499297,0.5466728253153009,0.2661689914060613,0.8253637864368096,0.06399303026786886,0.45243300337347414,0.19453191443410686,0.7912568306010929,0.03910064222950451,0.6622999587431873,0.11086948931531536,0.6030478955007257,0.17184288334013142,0.6170805711153365,0.10204722171352407,0.8253637864368096,0.06399303026786886,0.48808062246462536,0.11785873385193267
ft_04,57.0,32.687918257362305,0.8278685415728605,0.10701488129130961,0.873452482898676,0.12958242841988987,0.5240000000000001,0.054129474410897487,0.8,0.05526965162181541,0.5702810779484208,0.32055301354204524,0.5207547169811321,0.31049060272791257,0.5400992342739916,0.30921584211391046,0.8141668974839075,0.10042957359511624,0.4378505624091633,0.2797256526442452,0.7978142076502732,0.05126137442429978,0.5745986609373062,0.3245978331444384,0.49433962264150944,0.285336423073716,0.5293684009910425,0.30019171994600885,0.8141668974839075,0.10042957359511624,0.4348038657505472,0.25035817794710846
ft_stable,59.4,33.79792893063124,0.7966713113390854,0.10797204305086126,0.8372623768432673,0.12410011835002731,0.4820000000000001,0.05761944116355179,0.7901639344262296,0.0522136794998525,0.6304610801784977,0.1384077050140989,0.5194484760522496,0.26984641232828704,0.543774381700666,0.2671100588005735,0.7852455710787843,0.1492597094058948,0.4346836063189106,0.22520354284451308,0.7650273224043715,0.09767520727715565,0.5937106918238994,0.17184160728112136,0.6028301886792453,0.1760009264029471,0.5964036317879338,0.16834481356794997,0.7852455710787843,0.1492597094058948,0.4325275773934775,0.23783936084259666
ft_02,47.8,42.28120149664623,0.7515305716800733,0.15012127128848116,0.7897711449155695,0.17434207004401278,0.5240000000000001,0.08080841540334777,0.766120218579235,0.051609700341497686,0.5252344180915609,0.29601357016571545,0.38396226415094337,0.3379742491575765,0.40494268971956593,0.3272360282332103,0.7348980157103446,0.1946152548759158,0.32082221662599236,0.2710183950471114,0.771584699453552,0.05204182929315465,0.5788135593220339,0.3277760915484966,0.36124818577648765,0.30948521919352634,0.4079445036434284,0.3065074899002937,0.7348980157103446,0.1946152548759158,0.3383044391961004,0.26082799697285236
