config,fold,epoch,train_loss,val_auc,val_mcc,val_score
ft_04,4,1,0.7903945446014404,0.43174603174603177,0.0,0.43174603174603177
ft_04,4,2,0.7865980267524719,0.5526077097505668,0.0,0.5526077097505668
ft_04,4,3,0.7842763066291809,0.5884353741496599,0.1308559806475534,0.6015209722144151
ft_04,4,4,0.7708545565605164,0.590249433106576,0.055708601453115555,0.5958202932518876
ft_04,4,5,0.7682760715484619,0.5782312925170068,0.055708601453115555,0.5838021526623184
ft_04,4,6,0.7712544798851013,0.5727891156462586,0.015214515486254614,0.574310567194884
ft_04,4,7,0.7560183644294739,0.5721088435374149,-0.008175874252096607,0.5712912561122052
ft_04,4,8,0.7583948135375976,0.5784580498866213,-0.013222147133698627,0.5771358351732514
ft_04,4,9,0.7431841850280761,0.5786848072562358,-0.013222147133698627,0.5773625925428659
ft_04,4,10,0.7569495558738708,0.5804988662131519,0.01515325460564539,0.5820141916737165
ft_04,4,11,0.7369770407676697,0.58140589569161,0.053376051268362375,0.5867435008184463
ft_04,4,12,0.7449921607971192,0.5868480725623582,0.006726727939963125,0.5875207453563545
ft_04,4,13,0.7230923771858215,0.5936507936507935,0.02255176992531063,0.5959059706433246
ft_04,4,14,0.7246890425682068,0.599546485260771,0.02255176992531063,0.6018016622533021
ft_04,4,15,0.7117544054985047,0.6056689342403627,0.02255176992531063,0.6079241112328938
ft_04,4,16,0.712710976600647,0.6120181405895692,0.10425720702853739,0.6224438612924229
ft_04,4,17,0.7134909987449646,0.6210884353741497,0.1281025230440697,0.6338986876785567
ft_04,4,18,0.6984030246734619,0.6333333333333333,0.1281025230440697,0.6461435856377403
ft_04,4,19,0.6975393772125245,0.645578231292517,0.14094856203319142,0.6596730874958362
ft_04,4,20,0.6885074496269226,0.6555555555555556,0.11032729620162277,0.6665882851757179
ft_04,4,21,0.6895950198173523,0.6648526077097506,0.17839140963663286,0.6826917486734139
ft_04,4,22,0.6831135869026184,0.6752834467120181,0.17839140963663286,0.6931225876756814
ft_04,4,23,0.6644874811172485,0.6863945578231292,0.1649835266372656,0.7028929104868558
ft_04,4,24,0.6729974508285522,0.6959183673469388,0.19166296949998196,0.715084664296937
ft_04,4,25,0.6631664752960205,0.7047619047619048,0.2502172968684897,0.7297836344487538
ft_04,4,26,0.6312408149242401,0.7120181405895691,0.24748737341529164,0.7367668779310983
ft_04,4,27,0.6509242534637452,0.7210884353741497,0.2339548000893516,0.7444839153830849
ft_04,4,28,0.6298501491546631,0.7265306122448979,0.23215864790111868,0.7497464770350097
ft_04,4,29,0.6459491133689881,0.7340136054421769,0.29872641792597543,0.7638862472347744
ft_04,4,30,0.6325092196464539,0.7376417233560091,0.3374971676229356,0.7713914401183026
ft_04,4,31,0.6185550928115845,0.7476190476190476,0.3374971676229356,0.7813687643813412
ft_04,4,32,0.6253118991851807,0.7650793650793651,0.34133654697068744,0.7992130197764339
ft_04,4,33,0.6197055339813232,0.7789115646258503,0.37031338592963453,0.8159429032188138
ft_04,4,34,0.6192403912544251,0.780498866213152,0.36759441985730407,0.8172583081988825
ft_04,4,35,0.5887630820274353,0.7950113378684807,0.40591373153270943,0.8356027110217517
ft_04,4,36,0.6019136071205139,0.7979591836734694,0.40442119779157454,0.8384013034526269
ft_04,4,37,0.5826838135719299,0.8090702947845805,0.3611111111111111,0.8451814058956916
ft_04,4,38,0.601143991947174,0.8142857142857143,0.3919647479510927,0.8534821890808235
ft_04,4,39,0.6167463541030884,0.8179138321995464,0.30779350562554625,0.848693182762101
ft_04,4,40,0.5897004842758179,0.8224489795918368,0.47726946746917853,0.8701759263387547
ft_04,4,41,0.5697569370269775,0.8233560090702948,0.4296284349356583,0.8663188525638607
ft_04,4,42,0.5607955038547516,0.8310657596371882,0.4863939269465132,0.8797051523318395
