model,n,positive,negative,prevalence,auc,ap,brier
Logistic Regression,915,264,651,0.28852459016393445,0.87120048410371,0.7596080198156847,0.14195157234804887
Random Forest,915,264,651,0.28852459016393445,0.8803181585439649,0.7924307037264688,0.1238139938089039
XGBoost,915,264,651,0.28852459016393445,0.8711306614532421,0.778893451738009,0.13044688710432722
AMFormer,915,264,651,0.28852459016393445,0.8804985337243403,0.7789752411434822,0.1416151895176699
PGFormer,915,264,651,0.28852459016393445,0.9132919052273891,0.8257502675785444,0.17292785898493637
