fold,accuracy,precision,recall,f1,auc,mcc,threshold,tn,fp,fn,tp
1,0.8360655737704918,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.8765413975337639,0.5970346447445684,0.16999999999999998,116,15,15,37
2,0.8743169398907104,0.75,0.8490566037735849,0.7964601769911505,0.921044992743106,0.7088973747883931,0.8599999999999997,115,15,8,45
3,0.6721311475409836,0.46534653465346537,0.8867924528301887,0.6103896103896104,0.8750362844702467,0.429970635236088,0.8699999999999997,76,54,6,47
4,0.7650273224043715,0.5675675675675675,0.7924528301886793,0.6614173228346457,0.8415094339622643,0.504906422420361,0.8799999999999997,98,32,11,42
5,0.819672131147541,0.6470588235294118,0.8301886792452831,0.7272727272727273,0.8671988388969522,0.605970930919471,0.3099999999999999,106,24,9,44
