fold,auc,fixed_threshold,best_threshold,accuracy_fixed,precision_fixed,recall_fixed,f1_fixed,mcc_fixed,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
1,0.8947445684086905,0.5,0.05,0.7923497267759563,0.6060606060606061,0.7692307692307693,0.6779661016949152,0.5360731283530452,0.6010928961748634,0.416,1.0,0.5875706214689266,0.4291657093791048,58,73,0,52
2,0.9271407837445573,0.5,0.17000000000000004,0.8907103825136612,0.851063829787234,0.7547169811320755,0.8,0.7276611882646442,0.7540983606557377,0.5425531914893617,0.9622641509433962,0.6938775510204082,0.5730869805424371,87,43,2,51
3,0.888388969521045,0.5,0.24000000000000005,0.8306010928961749,0.6964285714285714,0.7358490566037735,0.7155963302752294,0.5955612190380404,0.8087431693989071,0.6216216216216216,0.8679245283018868,0.7244094488188977,0.6030975757709732,102,28,7,46
4,0.8711175616835993,0.5,0.05,0.7759562841530054,0.5857142857142857,0.7735849056603774,0.6666666666666666,0.5137892224441385,0.6065573770491803,0.42016806722689076,0.9433962264150944,0.5813953488372093,0.39246757423417966,61,69,3,50
5,0.8933236574746009,0.5,0.05,0.825136612021858,0.6779661016949152,0.7547169811320755,0.7142857142857143,0.5905795479256489,0.6010928961748634,0.42063492063492064,1.0,0.5921787709497207,0.4294557421111452,57,73,0,53
