epoch,train_loss,val_loss,val_auc
0,1.0608250006385471,0.8661562999089559,0.8209042865531415
1,0.8589945150458295,0.763504316409429,0.8367586611861421
2,0.761864511863045,0.7620663493871689,0.8536406341749854
3,0.6852463185787201,0.7273757110039393,0.862889019377569
4,0.6444321637568267,0.6909313375751177,0.8815325895478567
5,0.6236907217813574,0.7317869961261749,0.8700822078684673
6,0.6196611769821333,0.6981748441855112,0.8793305930710511
7,0.5944945151391237,0.7353180522720019,0.8806517909571344
8,0.5795298322387363,0.6935139844814936,0.8797709923664122
9,0.5712967735269795,0.7206738814711571,0.888285378743394
10,0.5527663885251336,0.7325502323607603,0.8766881972988844
11,0.5439988128516985,0.7100037907560667,0.8919553728714034
12,0.5235447637412859,0.6913126185536385,0.8869641808573107
13,0.5235234123209248,0.6658310741186142,0.8900469759248385
14,0.4916783422231674,0.7242996071775755,0.8947445684086905
15,0.45797837234061695,0.749202753106753,0.8766881972988843
16,0.4787693950145141,0.6982986355821291,0.8904873752201996
17,0.4422775643027347,0.7343584882716337,0.8943041691133293
18,0.4232753936363303,0.7521873340010643,0.8865237815619496
19,0.4354286388210628,0.8090469638506571,0.8868173810921903
20,0.45816167152446247,0.7847073090573152,0.8843217850851439
21,0.42389745297639264,0.7290614371498426,0.8840281855549031
22,0.3984969245350879,0.7475725064675013,0.8912213740458016
23,0.3445777135050815,0.8396493134399255,0.8881385789782736
24,0.37706446064555127,0.7975536696612835,0.885936582501468
25,0.32127307452585385,0.8504212871193886,0.8846153846153846
26,0.3372062460883804,0.84074750294288,0.8901937756899588
27,0.32603821806285693,0.8667121455073357,0.8903405754550793
28,0.32090413116890454,0.8883264710505804,0.8887257780387552
29,0.31210249079310376,0.9203525061408678,0.8821197886083382
30,0.2972596533920454,0.9261364626387755,0.8872577803875513
31,0.3081285114521566,0.924419584373633,0.8831473869641809
32,0.2861401775608892,0.9230360239744186,0.8882853787433941
33,0.28288100757028745,0.9364648113648096,0.8875513799177921
34,0.3041880480621172,0.938445379336675,0.885936582501468
35,0.2913494032362233,0.9345127294460932,0.8860833822665884
36,0.2597498974722365,0.9326644763350487,0.8860833822665883
37,0.2659972637243893,0.9321514740586281,0.887110980622431
38,0.29266172161568765,0.940819650888443,0.8868173810921902
39,0.253228674116342,0.9502174444496632,0.8869641808573107
