fold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_auc,fixed_mcc,best_accuracy,best_precision,best_recall,best_f1,best_auc,best_mcc,best_threshold,lambda,rho,tn,fp,fn,tp
1,0.7650273224043715,0.5584415584415584,0.8269230769230769,0.6666666666666666,0.8759541984732824,0.5183389962514473,0.6830601092896175,0.47115384615384615,0.9423076923076923,0.6282051282051282,0.8759541984732824,0.4757299055153752,0.24,0.11977925151586533,0.11971619352698326,97,34,9,43
2,0.8469945355191257,0.711864406779661,0.7924528301886793,0.75,0.9188679245283018,0.6421302549470627,0.6612021857923497,0.46017699115044247,0.9811320754716981,0.6265060240963856,0.9188679245283018,0.4777576028369303,0.14,0.11985544487833977,0.1189713217318058,113,17,11,42
3,0.819672131147541,0.631578947368421,0.9056603773584906,0.7441860465116279,0.9217706821480407,0.6353800141754883,0.6830601092896175,0.4774774774774775,1.0,0.6463414634146342,0.9217706821480407,0.5142461127213939,0.1,0.11955087259411812,0.12005837634205818,102,28,5,48
4,0.819672131147541,0.6666666666666666,0.7547169811320755,0.7079646017699115,0.8615384615384615,0.5805806392925712,0.5683060109289617,0.3984375,0.9622641509433962,0.56353591160221,0.8615384615384615,0.36599394032614235,0.02,0.12059811502695084,0.12127085775136948,110,20,13,40
5,0.8142076502732241,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.8777939042089985,0.5269919501784617,0.6502732240437158,0.45132743362831856,0.9622641509433962,0.6144578313253012,0.8777939042089985,0.4529689322049036,0.04,0.12104317918419838,0.12090954184532166,118,12,22,31
