epoch,train_loss,val_loss
0,0.8732782656496222,0.7351752320925394
1,0.6675729363253622,0.7272706727186838
2,0.5956200523809954,0.7124599615732828
3,0.5308681527773539,0.7631869912147522
4,0.519867813948429,0.7931984464327494
5,0.497261949560859,0.873528242111206
6,0.46695511314001953,0.8306714942057928
7,0.43054159753250354,0.8546798080205917
8,0.4299632685654091,0.891398956378301
9,0.38489363252213504,1.0013739615678787
10,0.4044177383184433,0.9979342818260193
11,0.3389052301645279,1.0455400844415028
12,0.3166868925997705,1.0305571854114532
13,0.32724607306899445,1.1839782347281773
14,0.30672088558926724,1.142666627963384
15,0.2885852178389376,1.1866922676563263
16,0.2637377950278195,1.019275779525439
17,0.24884210459210657,1.212140252192815
18,0.28085940873081033,1.1575072805086772
19,0.2051029016799999,1.4741301536560059
20,0.18847386826845733,1.3558649917443593
21,0.19187957437878306,1.5432741145292919
22,0.19727948460389266,1.520325283209483
23,0.18583534691821446,1.4947054088115692
24,0.156780128959905,1.8198047478993733
25,0.21380805119759205,1.645561675230662
26,0.18750339986361336,1.6046475966771443
27,0.15744393687187272,1.74644069870313
