epoch,train_loss,val_loss
0,0.9695982896920406,0.720341220498085
1,0.7348511562202916,0.6047317733367285
2,0.6647748296911066,0.5668335581819216
3,0.6329429140596678,0.6532341614365578
4,0.5779211205063444,0.5860608418782552
5,0.5245220823721453,0.5707906112074852
6,0.5020541336500284,0.6152373229463896
7,0.42573948565757636,0.6561439981063207
8,0.43092965312076337,0.746613989273707
9,0.3986590224685091,0.7434988667567571
10,0.38105032976829645,0.8183831609785557
11,0.3580473880424644,0.706087497373422
12,0.3341931921966148,0.8558605015277863
13,0.3162265984397946,0.9582882523536682
14,0.32598217396122037,0.9094129800796509
15,0.31486694379286334,0.8300172289212545
16,0.2533721921570373,1.0724855363368988
17,0.28060789485320903,0.8892692228158315
18,0.24389829949447603,0.8560919612646103
19,0.23935328141757936,0.9574501017729441
20,0.1988251678871386,1.0902855694293976
21,0.1899822002389666,1.28913048406442
22,0.2365280580565785,1.5503325114647548
23,0.15689131425637187,1.2002919067939122
24,0.15366059722322406,1.4992129703362782
25,0.19229506610920935,1.548549125591914
26,0.17986259203065524,1.486011226971944
27,0.1652085343093583,1.6099880933761597
