epoch,train_loss,val_loss,val_auc
0,0.25858947245971015,0.2197374291718006,0.5150943396226415
1,0.20173884604288184,0.1803463983039061,0.46574746008708273
2,0.18802792611329452,0.18054829289515814,0.5226415094339623
3,0.18577756505945456,0.1742548830807209,0.5384615384615384
4,0.17470599516578342,0.173040101925532,0.5809869375907112
5,0.17346477897270865,0.17151440804203352,0.579100145137881
6,0.17367612408555072,0.17290613055229187,0.5642960812772134
7,0.1760164253089739,0.1734593758980433,0.5593613933236574
8,0.17172284359517304,0.1740818272034327,0.5502177068214804
9,0.1728725200114043,0.17530839890241623,0.5312046444121916
10,0.16983726847430933,0.16527966037392616,0.7373730043541364
11,0.17373596131801605,0.16775537406404814,0.6609579100145139
12,0.16917997695829556,0.16492788369456926,0.732510885341074
13,0.1705806754205538,0.16695373505353928,0.6772133526850508
14,0.169821934207626,0.16813558340072632,0.64644412191582
15,0.167024915309056,0.16829933846990267,0.6567489114658926
16,0.17109277650066043,0.16221662362416586,0.7271407837445574
17,0.16798486528189285,0.16729263588786125,0.6622641509433962
18,0.16647201517353888,0.16723579416672388,0.6986211901306241
19,0.16517379879951477,0.16544373705983162,0.7182873730043541
20,0.1699142248734184,0.1643787038822969,0.7378809869375906
21,0.16777870318163995,0.1617010496556759,0.758200290275762
22,0.16946801057328348,0.16457725192109743,0.722133526850508
23,0.16324048716088999,0.16248450924952826,0.7243831640058055
24,0.16620723028545795,0.1591694305340449,0.7423802612481858
25,0.16587875718655792,0.15942014505465826,0.741654571843251
26,0.1686899642581525,0.16136743873357773,0.7338171262699564
27,0.16517433588919433,0.15956177562475204,0.731567489114659
28,0.16718020970406738,0.15941249579191208,0.7577648766328011
29,0.16537801208703415,0.16025686884919801,0.7267053701015965
30,0.16614180382179178,0.15973358477155367,0.7274310595065312
31,0.16787736053052155,0.15813605363170305,0.7354136429608129
32,0.16307341922884402,0.156557347625494,0.7618287373004355
33,0.16405716668004575,0.15795685599247614,0.752467343976778
34,0.16578429516242899,0.1586213062206904,0.7379535558780842
35,0.16383078953494196,0.15636973455548286,0.7670537010159652
36,0.16512737131637076,0.1559282826880614,0.7737300435413643
37,0.16350218135377634,0.15595031529664993,0.7613933236574746
38,0.1683766462880632,0.15532654772202173,0.7785195936139332
39,0.16353475691183753,0.15650350227952003,0.765166908563135
40,0.16419308276280112,0.15404862786332765,0.7641509433962264
41,0.16419383980657742,0.15285300463438034,0.7879535558780842
42,0.16398750245571136,0.15347522124648094,0.771988388969521
43,0.16294279046680615,0.1543576754629612,0.7589259796806966
44,0.1624135605019072,0.15209992602467537,0.7830188679245282
45,0.16285606830016428,0.15318511798977852,0.774600870827286
46,0.1649387857836226,0.156239103525877,0.7444121915820029
47,0.1621125411728154,0.15446617205937704,0.7612481857764877
48,0.15973531098469443,0.15443846335013708,0.751233671988389
49,0.15999619468398715,0.15177385633190474,0.7738751814223511
50,0.15900987224734348,0.15248623862862587,0.7658925979680697
51,0.16188792592805365,0.1476885030666987,0.8058055152394775
52,0.1626399739280991,0.14886138712366423,0.7892597968069666
53,0.16133975788303043,0.15155471364657083,0.7666182873730044
54,0.16012816293084103,0.15186846380432448,0.7632801161103047
55,0.1607142200936442,0.14905001347263655,0.7849056603773585
56,0.15929934933133746,0.1505783461034298,0.7667634252539913
57,0.1620000756305197,0.14926191419363022,0.7815674891146589
58,0.15628896070563275,0.14697728926936784,0.795500725689405
59,0.15734367493702017,0.14787013456225395,0.7780841799709723
60,0.1604029863424923,0.14754811426003775,0.7741654571843252
61,0.15682830888292063,0.14719980830947557,0.7968069666182872
62,0.16007814750723218,0.1476863274971644,0.7811320754716982
63,0.155041355477727,0.14686385666330656,0.7830188679245284
64,0.1598599190297334,0.14642628033955893,0.7984034833091437
65,0.16130039063484772,0.1512007974088192,0.756023222060958
66,0.15961863618829977,0.14940586810310683,0.7745283018867924
67,0.15288613445085028,0.14821342751383781,0.784833091436865
68,0.16225809701111005,0.1491265632212162,0.771988388969521
69,0.16288583693297012,0.14852689330776533,0.7780841799709725
70,0.16069527261930963,0.14646332835157713,0.7937590711175617
71,0.16206509457982105,0.14809892078240713,0.7846153846153846
72,0.1558104154208432,0.14988304302096367,0.7750362844702468
73,0.16310127597788107,0.15005112315217653,0.7757619738751814
74,0.1590627554966056,0.14767742405335108,0.7783744557329462
75,0.15756259599457617,0.14923212925593057,0.7788098693759071
76,0.1596542269639347,0.14856217056512833,0.7872278664731496
