epoch,train_loss,val_auc
1,0.9978013038635254,0.5223356009070295
2,0.9920513391494751,0.5473922902494333
3,0.9922367095947265,0.5721088435374149
4,0.9870810508728027,0.5891156462585034
5,0.986844003200531,0.6038548752834467
6,0.9882196307182312,0.6126984126984126
7,0.981331205368042,0.6308390022675736
8,0.985540759563446,0.646485260770975
9,0.9749916553497314,0.6666666666666666
10,0.9721122622489929,0.6814058956916099
11,0.9749473452568054,0.6941043083900228
12,0.9741606712341309,0.6956916099773243
13,0.9691449046134949,0.6963718820861678
14,0.9639053225517273,0.699092970521542
15,0.9575462460517883,0.7031746031746032
16,0.9658131718635559,0.7049886621315193
17,0.953670597076416,0.7122448979591837
18,0.9487425088882446,0.7174603174603175
19,0.9413826823234558,0.7219954648526078
20,0.943180239200592,0.726077097505669
21,0.9304285883903504,0.734013605442177
22,0.930596113204956,0.7430839002267574
23,0.911369788646698,0.7523809523809524
24,0.9050321340560913,0.7600907029478458
25,0.8900437474250793,0.7705215419501134
26,0.8811029553413391,0.7807256235827664
27,0.8813702940940857,0.7931972789115647
28,0.8643615126609803,0.8056689342403628
29,0.8540371537208558,0.8083900226757369
30,0.8523152232170105,0.8317460317460317
31,0.8400513887405395,0.8351473922902495
32,0.8329900860786438,0.8489795918367347
33,0.7966827034950257,0.8585034013605443
34,0.7755869388580322,0.8643990929705215
35,0.761516535282135,0.8662131519274378
36,0.7504272222518921,0.8551020408163265
37,0.7665046453475952,0.8891156462585034
38,0.7469584465026855,0.8868480725623582
39,0.7409981489181519,0.8861678004535147
40,0.7064903616905213,0.8820861678004535
41,0.6970247983932495,0.881859410430839
42,0.6698261260986328,0.890702947845805
43,0.6519587874412537,0.8947845804988662
44,0.6383631587028503,0.8886621315192744
45,0.6464447498321533,0.8836734693877552
46,0.6165905594825745,0.8818594104308389
47,0.6288105607032776,0.8829931972789115
48,0.6549521923065186,0.8859410430839002
49,0.6753642201423645,0.8897959183673471
50,0.6715415716171265,0.8929705215419501
