fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.7868852459016393,0.6,0.75,0.6666666666666666,0.8646506165590135,0.5,105,26,13,39
2,0.8360655737704918,0.6885245901639344,0.7924528301886793,0.7368421052631579,0.8933236574746009,0.5,111,19,11,42
3,0.8306010928961749,0.7037037037037037,0.7169811320754716,0.7102803738317757,0.8985486211901307,0.5,114,16,15,38
4,0.7704918032786885,0.5797101449275363,0.7547169811320755,0.6557377049180327,0.8505079825834543,0.5,101,29,13,40
5,0.8360655737704918,0.7169811320754716,0.7169811320754716,0.7169811320754716,0.8924528301886792,0.5,115,15,15,38
