fold,auc,fixed_threshold,best_threshold,accuracy_fixed,precision_fixed,recall_fixed,f1_fixed,mcc_fixed,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
1,0.8945977686435702,0.5,0.11000000000000001,0.7978142076502732,0.6086956521739131,0.8076923076923077,0.6942148760330579,0.5598319281587919,0.6885245901639344,0.47619047619047616,0.9615384615384616,0.6369426751592356,0.4940229169514356,76,55,2,50
2,0.9191582002902758,0.5,0.29000000000000004,0.825136612021858,0.6521739130434783,0.8490566037735849,0.7377049180327869,0.6218551084535439,0.7759562841530054,0.5681818181818182,0.9433962264150944,0.7092198581560284,0.5910803469543868,92,38,3,50
3,0.8962264150943396,0.5,0.060000000000000005,0.8032786885245902,0.673469387755102,0.6226415094339622,0.6470588235294118,0.5117417098080377,0.7158469945355191,0.5048543689320388,0.9811320754716981,0.6666666666666666,0.5384331505252171,79,51,1,52
4,0.8563134978229318,0.5,0.13,0.7759562841530054,0.5857142857142857,0.7735849056603774,0.6666666666666666,0.5137892224441385,0.639344262295082,0.4424778761061947,0.9433962264150944,0.6024096385542169,0.42818026157287686,67,63,3,50
5,0.8911465892597968,0.5,0.060000000000000005,0.825136612021858,0.6779661016949152,0.7547169811320755,0.7142857142857143,0.5905795479256489,0.6229508196721312,0.43333333333333335,0.9811320754716981,0.6011560693641619,0.43728691877651327,62,68,1,52
