fold,auc,fixed_threshold,best_threshold,accuracy_fixed,precision_fixed,recall_fixed,f1_fixed,accuracy,precision,recall,f1,tn,fp,fn,tp
1,0.8785965942454491,0.5,0.05,0.8087431693989071,0.6307692307692307,0.7884615384615384,0.7008547008547008,0.6994535519125683,0.48484848484848486,0.9230769230769231,0.6357615894039735,80,51,4,48
2,0.9328011611030479,0.5,0.08000000000000002,0.8688524590163934,0.7230769230769231,0.8867924528301887,0.7966101694915254,0.644808743169399,0.4491525423728814,1.0,0.6198830409356725,65,65,0,53
3,0.9074020319303339,0.5,0.1,0.8142076502732241,0.6338028169014085,0.8490566037735849,0.7258064516129032,0.6666666666666666,0.4642857142857143,0.9811320754716981,0.6303030303030303,70,60,1,52
4,0.8635703918722786,0.5,0.32000000000000006,0.825136612021858,0.6567164179104478,0.8301886792452831,0.7333333333333333,0.7595628415300546,0.5529411764705883,0.8867924528301887,0.6811594202898551,92,38,6,47
5,0.8830188679245283,0.5,0.060000000000000005,0.7868852459016393,0.6206896551724138,0.6792452830188679,0.6486486486486487,0.7431693989071039,0.532608695652174,0.9245283018867925,0.6758620689655173,87,43,4,49
