fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.7377049180327869,0.5277777777777778,0.7307692307692307,0.6129032258064516,0.8623018203170875,0.5,97,34,14,38
2,0.8633879781420765,0.7692307692307693,0.7547169811320755,0.7619047619047619,0.9121915820029027,0.5,118,12,13,40
3,0.8360655737704918,0.6885245901639344,0.7924528301886793,0.7368421052631579,0.8885341074020319,0.5,111,19,11,42
4,0.8032786885245902,0.6808510638297872,0.6037735849056604,0.64,0.8307692307692307,0.5,115,15,21,32
5,0.7923497267759563,0.6153846153846154,0.7547169811320755,0.6779661016949152,0.8766328011611031,0.5,105,25,13,40
