fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.6065573770491803,0.4166666666666667,0.9615384615384616,0.5813953488372093,0.8912213740458015,0.35,61,70,2,50
2,0.5628415300546448,0.3969465648854962,0.9811320754716981,0.5652173913043478,0.9026124818577649,0.35,51,79,1,52
3,0.40437158469945356,0.3271604938271605,1.0,0.4930232558139535,0.907256894049347,0.35,21,109,0,53
4,0.5027322404371585,0.3602941176470588,0.9245283018867925,0.5185185185185185,0.8367198838896952,0.35,43,87,4,49
5,0.7540983606557377,0.5454545454545454,0.9056603773584906,0.6808510638297872,0.8850507982583453,0.35,90,40,5,48
