epoch,train_loss,val_loss
0,0.8999299199684806,0.860097070535024
1,0.800384389317554,0.7602980335553488
2,0.6955092069895371,0.6572776635487875
3,0.6506048842616703,0.6741484850645065
4,0.6076801820941593,0.65424445271492
5,0.5921696800252666,0.6994004348913828
6,0.5824410546085109,0.6476099143425623
7,0.5288221136383389,0.6628931214412054
8,0.48947748930557916,0.7296239386002222
9,0.5212342544742252,0.6645476842919985
10,0.4864135449347289,0.6627767930428187
11,0.4775158361248348,0.6852576285600662
12,0.46656829637029895,0.7106602365771929
13,0.465809800054716,0.7505911787350973
14,0.45701501874820044,0.7269517282644907
15,0.4383849832026855,0.7769392654299736
16,0.4524237176646357,0.6994866952300072
17,0.4353933204775271,0.7605641186237335
18,0.44026325513487274,0.7237162267168363
19,0.4370100446369337,0.7279510100682577
20,0.41858490653659985,0.7199036677678426
21,0.42182371473830677,0.7205118884642919
