,age,C_G,C_WBC,C_RBC,C_P,C_N,transparency,GCS,tem,B_G,B_CRP,B_WBC,B_N,B_Lym,B_PCT,B_AC,B_RBC,sex,tube,site,other_inf,ratio_C_G_B_G,diff_C_N_B_N,corrected_WBC,ratio_WBC_RBC_diff
age,0.03117316,0.085314065,0.021536123,0.05165445,0.065687165,0.1069114,0.013356359,0.025562778,0.03258428,0.016551323,0.020592283,0.036702972,0.02224601,0.02470308,0.06556237,0.0151005145,0.09347197,0.03085901,0.013912457,0.051297896,0.0210415,0.059772484,0.032072693,0.045047455,0.01728617
C_G,0.060335785,0.062309906,0.055638555,0.27280483,0.031539783,0.07534867,0.023549533,0.027728908,0.02100295,0.020365488,0.008580187,0.013154516,0.01426446,0.018641658,0.008927359,0.023497604,0.054803014,0.01756079,0.008095129,0.059884164,0.040998653,0.03030681,0.008533236,0.0366537,0.005474299
C_WBC,0.032975376,0.08788222,0.015225804,0.2264555,0.03354962,0.019319603,0.009027874,0.24015842,0.006285751,0.033852868,0.04304778,0.012203405,0.012159592,0.025569253,0.0070120655,0.026400337,0.022364514,0.027798831,0.007821105,0.016982783,0.023936884,0.022341382,0.015221175,0.022558015,0.009849818
C_RBC,0.042630024,0.02283694,0.020998888,0.020030295,0.032596838,0.27678224,0.016065842,0.010422739,0.023991454,0.0081186,0.005561386,0.016148986,0.0073379898,0.06464043,0.016963422,0.010086646,0.037943557,0.0149490265,0.004726912,0.010373261,0.057700045,0.25898787,0.006610915,0.0109361755,0.0025595112
C_P,0.01481781,0.03274193,0.016103178,0.0101182,0.23241837,0.016026117,0.015755408,0.015962567,0.024159601,0.020911887,0.038927753,0.007064918,0.14345565,0.014274877,0.024664726,0.016881334,0.014734329,0.080583856,0.08410394,0.0925836,0.018558607,0.011874415,0.015870241,0.00906347,0.028343212
C_N,0.028916141,0.023381624,0.065068915,0.035577178,0.03422959,0.016931256,0.023634207,0.015801035,0.008016711,0.019328019,0.024825292,0.061391417,0.026507191,0.0109820375,0.2420085,0.030127015,0.011613634,0.010865982,0.04711456,0.008377107,0.023611521,0.16926788,0.013867551,0.03559555,0.012960098
transparency,0.038767375,0.074271254,0.07947415,0.013398597,0.010209854,0.034596194,0.028320326,0.025167644,0.015720382,0.06450273,0.034947336,0.019360516,0.14583673,0.026871003,0.029445168,0.020899814,0.031909145,0.049182877,0.12355696,0.03989866,0.019555535,0.011102833,0.0148023255,0.035218876,0.012983746
GCS,0.027986873,0.07849188,0.018540598,0.033525083,0.013987106,0.018592518,0.2170479,0.023343459,0.011844518,0.021176608,0.03612436,0.02034116,0.012145749,0.021255776,0.0425487,0.035411723,0.030671306,0.01234137,0.017070992,0.010970125,0.015200181,0.1520409,0.08630636,0.02499822,0.018036494
tem,0.0272585,0.016083691,0.011771529,0.232935,0.24398333,0.003238512,0.013926138,0.014823692,0.0076746186,0.005979795,0.015153212,0.020670405,0.0058677862,0.014995994,0.013882953,0.007778502,0.2208056,0.005671888,0.011616667,0.016854057,0.013169303,0.024307402,0.015663043,0.03130136,0.0045871087
B_G,0.027877552,0.046846073,0.19531913,0.24645479,0.036158577,0.00817686,0.0064399564,0.0114545515,0.010294315,0.01425946,0.009255766,0.029864652,0.0061727236,0.009170221,0.021138823,0.0058234646,0.0072475276,0.009432183,0.009705636,0.017087871,0.009645618,0.0058704084,0.0103606675,0.013925426,0.23201774
B_CRP,0.04803143,0.029283047,0.042157825,0.017697465,0.022895047,0.04484736,0.015594563,0.02302052,0.022437986,0.05481337,0.024091551,0.009590169,0.026889253,0.101467274,0.012700488,0.016048739,0.020388966,0.21902028,0.029451696,0.038181793,0.021183398,0.006674409,0.02517566,0.02529856,0.10305916
B_WBC,0.010737018,0.060105022,0.021190872,0.01793034,0.003518527,0.030669985,0.071811244,0.026889576,0.02415434,0.08969215,0.026516305,0.015292279,0.031991582,0.016334798,0.017093686,0.019253105,0.017229792,0.021680443,0.21532337,0.035191283,0.0073695835,0.008844532,0.0066381474,0.008794137,0.19574784
B_N,0.018783037,0.07491706,0.06712442,0.006800355,0.1183204,0.015746592,0.01014484,0.06440468,0.009229698,0.025971912,0.039164446,0.09151965,0.04940892,0.0024935005,0.0131969005,0.006028519,0.015321798,0.21763678,0.013934249,0.040751413,0.008542412,0.019405326,0.017336668,0.026431087,0.027385369
B_Lym,0.03677431,0.021550838,0.023620345,0.022826096,0.021313407,0.11058113,0.024191953,0.035067588,0.01583233,0.039188523,0.11004481,0.026403328,0.0874165,0.019906867,0.010609661,0.0176909,0.031716306,0.09576507,0.013480296,0.041786693,0.04905999,0.02856452,0.01976348,0.07083352,0.026011523
B_PCT,0.017142985,0.03238148,0.006708017,0.0075348364,0.20493567,0.020658694,0.0069285715,0.021402786,0.015830908,0.10827577,0.021720322,0.030814238,0.0380411,0.0066186935,0.013185163,0.020744741,0.03641008,0.023929104,0.0067899125,0.24426666,0.01583432,0.01483653,0.026469547,0.022506831,0.03603304
B_AC,0.016377917,0.04985422,0.013641529,0.10109672,0.020221464,0.11484703,0.024359468,0.053784885,0.07005685,0.022941109,0.015053613,0.023747979,0.024993178,0.05268575,0.02574464,0.030695383,0.04921349,0.10052847,0.038200524,0.02176287,0.037302073,0.060943525,0.011071022,0.008686915,0.012189345
B_RBC,0.11027519,0.011700889,0.02064161,0.055434145,0.011225612,0.1843488,0.010742442,0.012076876,0.01232391,0.006264069,0.23436423,0.013919141,0.03595302,0.02947072,0.0128617035,0.050068617,0.0140670305,0.042239036,0.019676717,0.013132112,0.033753827,0.008026568,0.021868158,0.017984837,0.017580675
sex,0.02983922,0.045243386,0.03217814,0.020222444,0.016364662,0.015574677,0.028841278,0.01587591,0.019445188,0.017443042,0.026726773,0.026937788,0.0041205473,0.026505044,0.016470985,0.022120023,0.035731327,0.010349503,0.026113305,0.19522534,0.01151104,0.017050311,0.2394442,0.089624025,0.011041827
tube,0.022687247,0.041871347,0.07114262,0.022546493,0.015399239,0.013068384,0.0259046,0.059776187,0.013486111,0.038175866,0.04063426,0.031618945,0.06588611,0.022763213,0.021843268,0.21645945,0.010475975,0.012286337,0.058754474,0.039852,0.04425854,0.04356957,0.010176229,0.038380463,0.018983059
site,0.012302445,0.015021611,0.010146583,0.01954999,0.005001491,0.009647087,0.022041084,0.036146738,0.09523118,0.034189615,0.015019607,0.06643743,0.005870848,0.08990129,0.007897582,0.032022923,0.15021028,0.27120224,0.01924586,0.008460542,0.037386984,0.007427333,0.010249664,0.006487196,0.012902355
other_inf,0.008340457,0.0073429765,0.00935794,0.022784267,0.04083127,0.05476346,0.059032723,0.04370282,0.008914238,0.010966737,0.045819335,0.048549943,0.010916084,0.0081113735,0.0038747792,0.00997262,0.008168273,0.028165217,0.0709,0.013551369,0.008641303,0.0027761234,0.011449749,0.05572351,0.40734342
ratio_C_G_B_G,0.016493924,0.013766039,0.013085155,0.021770123,0.05972155,0.016678963,0.009796426,0.015116487,0.018501148,0.03431587,0.034910575,0.027456712,0.02077045,0.011850255,0.014601872,0.08889689,0.052936856,0.01532783,0.009652836,0.08910944,0.023296677,0.23770289,0.037735205,0.03705762,0.07944819
diff_C_N_B_N,0.11800336,0.008045815,0.01232026,0.014031402,0.27256283,0.0062496173,0.0026220828,0.005190146,0.008911446,0.0107245445,0.008979892,0.008523171,0.023332585,0.04156071,0.05132283,0.0068812207,0.01444382,0.009515657,0.021582674,0.0074446118,0.03159261,0.08662455,0.21963257,0.004679014,0.005222641
corrected_WBC,0.01099596,0.013905759,0.019555654,0.08514381,0.017341185,0.22373384,0.011113745,0.016280029,0.020397138,0.01628496,0.012831399,0.022879237,0.19664459,0.048770666,0.030432165,0.055377014,0.010855397,0.0310335,0.055694286,0.0172453,0.013392867,0.024033334,0.006059303,0.00944368,0.030555177
ratio_WBC_RBC_diff,0.030941186,0.023004726,0.033328734,0.014227191,0.0048730196,0.025552122,0.021072865,0.030331796,0.040947348,0.01250802,0.022946123,0.016965503,0.033573758,0.04121075,0.2689298,0.009534749,0.042235877,0.02776478,0.2057089,0.007904308,0.043781586,0.015805237,0.010916372,0.0136613045,0.0022738473
