epoch,train_loss,val_loss
0,0.8766790187877157,0.878791093826294
1,0.8307180948879408,0.7397968719402949
2,0.6931500603323397,0.63752148548762
3,0.605597497328468,0.6158301383256912
4,0.6245550163414167,0.6902502725521723
5,0.5688465937324192,0.6028266052405039
6,0.548895177633866,0.6058559417724609
7,0.5554305185442385,0.5794760038455328
8,0.5358629123024319,0.6345464040835699
9,0.49985456466674805,0.5904037356376648
10,0.4884620406057524,0.5826666553815206
11,0.4738389473894368,0.591141069928805
12,0.5163737367028776,0.5829982087016106
13,0.47788146138191223,0.6904962112506231
14,0.45566848438719043,0.581513375043869
15,0.45840847945731616,0.607474073767662
16,0.47808102745076886,0.578471397360166
17,0.4420467725266581,0.5768260906140009
18,0.42460550562195154,0.6338557402292887
19,0.44254742757133814,0.5835592076182365
20,0.41697478942249133,0.5800105084975561
21,0.4256997186204661,0.5786514754096667
22,0.4190871605406637,0.6338012715180715
23,0.3882494102353635,0.6591210812330246
24,0.4154106948686683,0.6027170469363531
25,0.3871167995359587,0.6213892102241516
26,0.37721198019774066,0.6441514218846957
27,0.3934592115490333,0.6399202595154444
28,0.3841761318237885,0.6333692620197932
29,0.3947529721519221,0.6295721332232157
30,0.4072195265604102,0.6337783510486285
31,0.3977597712174706,0.6265188703934351
32,0.38086598139742145,0.6297302767634392
