fold,auc,fixed_threshold,best_threshold,accuracy_fixed,precision_fixed,recall_fixed,f1_fixed,mcc_fixed,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,dynamic_train_coverage,dynamic_val_coverage
1,0.8785965942454492,0.5,0.05,0.8032786885245902,0.6212121212121212,0.7884615384615384,0.6949152542372882,0.5613049654128721,0.7158469945355191,0.5,0.9038461538461539,0.6438356164383562,0.4918454967935485,84,47,5,47,0.3715847134590149,0.3224043846130371
2,0.9339622641509434,0.5,0.23000000000000004,0.8469945355191257,0.6923076923076923,0.8490566037735849,0.7627118644067796,0.6589132191707535,0.7540983606557377,0.5408163265306123,1.0,0.7019867549668874,0.5946517258355907,85,45,0,53,0.36612021923065186,0.3442623019218445
3,0.897677793904209,0.5,0.12000000000000002,0.8142076502732241,0.6557377049180327,0.7547169811320755,0.7017543859649122,0.5707556165953879,0.7759562841530054,0.5681818181818182,0.9433962264150944,0.7092198581560284,0.5910803469543868,92,38,3,50,0.3579235076904297,0.37704917788505554
4,0.8314949201741655,0.5,0.05,0.7431693989071039,0.5416666666666666,0.7358490566037735,0.624,0.44753965942026963,0.41530054644808745,0.3291139240506329,0.9811320754716981,0.4928909952606635,0.21890614104497425,24,106,1,52,0.35928961634635925,0.3715847134590149
5,0.8605224963715531,0.5,0.05,0.8032786885245902,0.6349206349206349,0.7547169811320755,0.6896551724137931,0.5515967121829212,0.5409836065573771,0.3851851851851852,0.9811320754716981,0.5531914893617021,0.3533449373271396,47,83,1,52,0.3538251221179962,0.39344263076782227
