fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.8360655737704918,0.72,0.6923076923076923,0.7058823529411765,0.8872577803875514,0.5,117,14,16,36
2,0.825136612021858,0.8,0.5283018867924528,0.6363636363636364,0.8999999999999999,0.5,123,7,25,28
3,0.8469945355191257,0.8048780487804879,0.6226415094339622,0.7021276595744681,0.9132075471698113,0.5,122,8,20,33
4,0.8360655737704918,0.7346938775510204,0.6792452830188679,0.7058823529411765,0.8447024673439768,0.5,117,13,17,36
5,0.8032786885245902,0.7073170731707317,0.5471698113207547,0.6170212765957447,0.8635703918722787,0.5,118,12,24,29
