compare_to,n_common,auc_pga,auc_model,delta_auc_pga_minus_model,ci95_low,ci95_high,p_value,holm_p,significant_0_05
Logistic Regression,529,0.8942739405867519,0.8760686389076819,0.018205301679069974,-0.035980987517872674,0.07416004308256761,0.5406666666666666,1.0,False
Decision Tree,529,0.8942739405867519,0.7649301925087644,0.12934374807798754,0.06049240871699621,0.20138535509403546,0.0006666666666666666,0.004666666666666666,True
Random Forest,529,0.8942739405867519,0.8805277077311028,0.013746232855649132,-0.0442065781282423,0.07088606858104857,0.656,1.0,False
XGBoost,529,0.8942739405867519,0.8656743957192938,0.028599544867458082,-0.0305055653585065,0.08810929037970963,0.352,1.0,False
GBDT,529,0.8942739405867519,0.8836644320068885,0.010609508579863425,-0.04683539185980162,0.06801562709922865,0.742,1.0,False
FT-Transformer,529,0.8942739405867519,0.7886093855710683,0.10566455501568361,0.028998672292199497,0.18305458647150769,0.006666666666666667,0.04,True
Lightweight AMFormer,529,0.8942739405867519,0.8799741681530229,0.014299772433729041,-0.04371211062387528,0.07426662243092434,0.6486666666666666,1.0,False
