fold,accuracy,precision,recall,f1,auc,mcc,threshold,tn,fp,fn,tp
1,0.73224043715847,0.5245901639344263,0.6153846153846154,0.5663716814159292,0.7934527304756313,0.37696441826321453,0.5,102,29,20,32
2,0.8087431693989071,0.7045454545454546,0.5849056603773585,0.6391752577319587,0.8867924528301887,0.5146750629525758,0.5,117,13,22,31
3,0.7650273224043715,0.625,0.4716981132075472,0.5376344086021505,0.8058055152394775,0.39106042786752676,0.5,115,15,28,25
4,0.7377049180327869,0.5641025641025641,0.41509433962264153,0.4782608695652174,0.7269956458635705,0.3149280002517442,0.5,113,17,31,22
5,0.7103825136612022,0.0,0.0,0.0,0.6852685050798258,0.0,0.5,130,0,53,0
