experiment,description,feature_mode,use_clinical_residual,feature_token_dropout,use_ema,auc_mean,auc_std,recall_mean,precision_mean,f1_mean,mcc_mean,threshold_mean,fixed_auc_mean,fixed_recall_mean,fixed_f1_mean,fixed_mcc_mean
S1_light_pruned,S1: 裁剪版 LightAMFormer baseline；base 4 个临床交互；top_k=None。,base,False,0.0,False,0.8949498664953079,0.030003312707120346,0.9658200290275761,0.49943343105775045,0.6530030577866928,0.5043046652003123,0.16200000000000003,0.8949498664953079,0.806966618287373,0.6960492864233189,0.5624711129388378
S3_clinical_residual,S3: S2 + Clinical Residual Head；临床交互特征单独残差修正 logit。,extended,True,0.0,False,0.8949431081664985,0.01816571358246882,0.9547169811320755,0.4841955601945589,0.6358863482190324,0.48545471640756804,0.11200000000000003,0.8949431081664985,0.7576197387518142,0.7149029625845051,0.5927328612051034
S2_extended_features,S2: S1 + 扩展临床交互特征；不改模型主干。,extended,False,0.0,False,0.8931952492272238,0.025439027884241752,0.9619738751814223,0.4846086346086347,0.6376263342313044,0.4843701838828457,0.13000000000000003,0.8931952492272238,0.7952104499274311,0.7161244582594195,0.5917213562614043
S4_token_dropout,S4: S3 + Feature Token Dropout；训练时随机屏蔽少量 feature token。,extended,True,0.05,False,0.8914884942221828,0.020174862508595227,0.9621190130624093,0.48500757454877225,0.6432789815800619,0.4978007189560859,0.13000000000000003,0.8914884942221828,0.7615384615384615,0.6919861997095275,0.5595595033580322
S5_token_dropout_ema,S5: S4 + EMA 权重平均；降低小样本训练波动。,extended,True,0.05,True,0.8870546981464452,0.024565447337797832,0.9505805515239478,0.47525518999898847,0.6297386082105226,0.4729278268037948,0.14400000000000002,0.8870546981464452,0.8142235123367199,0.6985903580688442,0.5629814279339488
