exp_name,top_k,pos_weight_scale,embed_dim,use_dae,use_pda,use_tte,auc_mean,auc_std,f1_mean,recall_mean,precision_mean,accuracy_mean
exp_07_topk_12_pw_0.9_emb_64,12,0.9,64,True,True,True,0.6611468108443479,0.039982436776955,0.09504333380551942,0.05689404934687954,0.35317460317460314,0.7147540983606557
exp_04_topk_8_pw_0.9_emb_64,8,0.9,64,True,True,True,0.6605130790281302,0.024855382007887648,0.1840778241016478,0.3130624092888244,0.1351743571680169,0.6153005464480874
exp_01_topk_4_pw_0.9_emb_64,4,0.9,64,True,True,True,0.6241703320444498,0.03266374918583426,0.2528199848652834,0.3484034833091437,0.23752747252747247,0.6131147540983606
exp_05_topk_8_pw_1.0_emb_64,8,1.0,64,True,True,True,0.6241501678502976,0.021591115543385,0.27306447938026884,0.5357039187227868,0.18362999763111346,0.5136612021857923
exp_09_topk_12_pw_1.1_emb_64,12,1.1,64,True,True,True,0.6169262898990683,0.027931549993203377,0.34757869872364844,0.5207547169811322,0.4795842701880287,0.5530054644808743
exp_02_topk_4_pw_1.0_emb_64,4,1.0,64,True,True,True,0.6146953766383407,0.03515523219316186,0.08983050847457627,0.2,0.05792349726775956,0.6262295081967213
exp_03_topk_4_pw_1.1_emb_64,4,1.1,64,True,True,True,0.610829723351688,0.04436537082960434,0.3548898369269873,0.7056603773584905,0.2443378840968439,0.4327868852459016
exp_06_topk_8_pw_1.1_emb_64,8,1.1,64,True,True,True,0.5950330714942554,0.0187237393369931,0.44821492967904797,1.0,0.2888428511379331,0.2896174863387978
exp_08_topk_12_pw_1.0_emb_64,12,1.0,64,True,True,True,0.5906167805980567,0.02002670261017196,0.3387867063065452,0.4981132075471698,0.2856795303502954,0.566120218579235
