fold,accuracy,precision,recall,f1,auc,threshold,tn,fp,fn,tp
1,0.8142076502732241,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.8694950088079859,0.6,114,17,17,35
2,0.8797814207650273,0.7818181818181819,0.8113207547169812,0.7962962962962963,0.9373004354136429,0.6,118,12,10,43
3,0.7814207650273224,0.6,0.7358490566037735,0.6610169491525424,0.8396226415094339,0.6,104,26,14,39
4,0.8087431693989071,0.7045454545454546,0.5849056603773585,0.6391752577319587,0.8239477503628446,0.6,117,13,22,31
5,0.819672131147541,0.6923076923076923,0.6792452830188679,0.6857142857142857,0.8811320754716981,0.6,114,16,17,36
