Feature,Importance
C_G,0.14872846146421567
C_P,0.12385595979945696
C_WBC,0.0989616016546514
C_N,0.09687565908895934
B_CRP,0.07966318411718355
B_PCT,0.06705695626809942
C_RBC,0.057664591347900446
B_WBC,0.055524927099004834
Age,0.04677339360442597
GCS,0.04236513745939209
Temperature,0.04206428592461582
B_N,0.03535171808680127
B_Lym,0.024703016171454237
B_RBC,0.021799667429538743
CSF Transparency,0.02131550304225854
Sex,0.01328734042139658
Site,0.012334750173800707
Tube,0.011673846846844537
