fold,auc,fixed_threshold,best_threshold,accuracy_fixed,precision_fixed,recall_fixed,f1_fixed,mcc_fixed,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp
1,0.8791837933059308,0.5,0.12000000000000002,0.8142076502732241,0.6551724137931034,0.7307692307692307,0.6909090909090909,0.5603629189439372,0.7158469945355191,0.5,0.9230769230769231,0.6486486486486487,0.5027311159343779,83,48,4,48
2,0.920754716981132,0.5,0.25000000000000006,0.8688524590163934,0.7301587301587301,0.8679245283018868,0.7931034482758621,0.7037326554074496,0.7978142076502732,0.5952380952380952,0.9433962264150944,0.7299270072992701,0.6206491445873898,96,34,3,50
3,0.9248185776487663,0.5,0.07,0.8469945355191257,0.7272727272727273,0.7547169811320755,0.7407407407407407,0.6324846242199518,0.7759562841530054,0.5681818181818182,0.9433962264150944,0.7092198581560284,0.5910803469543868,92,38,3,50
4,0.8592162554426706,0.5,0.09000000000000001,0.7540983606557377,0.55,0.8301886792452831,0.6616541353383458,0.5059174685240639,0.4808743169398907,0.3581081081081081,1.0,0.527363184079602,0.3105055899878799,35,95,0,53
5,0.8820029027576197,0.5,0.12000000000000002,0.7978142076502732,0.6176470588235294,0.7924528301886793,0.6942148760330579,0.5561091142116188,0.5683060109289617,0.4015151515151515,1.0,0.572972972972973,0.39688472195019364,51,79,0,53
